,Judul,Konten
0,"Jadi Cawapres Jokowi, Kekayaan Ma'ruf Amin Mencapai Rp 11,6 M - Kompas.com",", JAKARTA, KOMPAS.com — Komisi Pemberantasan Korupsi (KPK) merilis laporan  harta kekayaan calon wakil presiden  Ma'ruf Amin di situs elhkpn.kpk.go.id, Kamis (16/8/2018).  Dilansir dari dokumen yang diunduh dari situs tersebut, Ma'ruf memiliki total kekayaan mencapai Rp 11.645.550.894. Total kekayaan itu setelah dikurangi oleh utang sebesar Rp 657.584.431.Kekayaan Ma'ruf mencakup pada harta berupa tanah dan bangunan, alat transportasi dan mesin, harta bergerak lainnya, serta kas dan setara kas.Baca juga: Cak Imin Sebut Banyak Pendukung Ahok Salah Paham dengan Maruf Amin Ma'ruf memiliki total 10 bidang tanah dan bangunan yang tersebar di Kota Depok dan Jakarta Utara. Adapun total nilai tanah dan bangunannya mencapai Rp 6.978.500.000.Ia juga memiliki 2 kendaraan dengan nilai total mencapai Rp 1.677.900.000. Dua kendaraan itu adalah Toyota Alphard 2.5 G AT Tahun 2018 senilai Rp 1,1 miliar dan Toyota Fortuner 2.4 VRZ 4x2 AT Tahun 2017 senilai Rp 527.900.000 Harta bergerak lainnya yang dimiliki Ma'ruf senilai Rp 226 juta. Ia tercatat tak memiliki surat berharga dan harta lainnya. Di sisi lain, ia memiliki harta berupa kas dan setara kas senilai Rp 3.470.735.325 "
1,KPU: Ada 3 Mantan Napi Korupsi Lolos Sebagai Bacaleg - Kompas.com,", JAKARTA, KOMPAS.com - Komisioner Komisi Pemilihan Umum ( KPU) Wahyu Setiawan menyebut ada tiga nama mantan narapidana korupsi yang lolos sebagai bakal calon legislatif (bacaleg).Ketiganya lolos setelah Badan Pengawas Pemilu ( Bawaslu) dan Panitia Pengawas Pemilu (Panwaslu) menyatakan mereka memenuhi syarat (MS) sebagai bacaleg.Padahal, sebelumnya KPU menyatakan ketiganya tidak memenuhi syarat (TMS).Baca juga: KPU Kecewa Bawaslu dan Panwaslu Loloskan Eks Koruptor Jadi CalegTiga putusan itu masing-masing dikeluarkan oleh Panwaslih Aceh, Panwaslu Tana Toraja, dan Bawaslu Sulawesi Utara. ""Ada tiga putusan KPU yang dianulir lewat putusan Bawaslu,"" kata Wahyu di kantor KPU, Jakarta Pusat, Kamis (16/8/2018).Tindakan Bawaslu dan Panwaslu tersebut, menurut Wahyu, telah mengabaikan aturan tentang larangan mantan narapidana korupsi untuk mendaftar sebagai  caleg, sebagaimana tercantum dalam Peraturan KPU (PKPU) nomor 20 tahun 2018.Baca juga: MA Belum Putuskan Uji Materi, PKPU Larangan Eks Koruptor Nyaleg Tetap Berlaku Mestinya, baik Bawaslu maupun Panwaslu menjadikan PKPU sebagai standar pengawasan.""Maka tampaknya Bawaslu mengabaikan aturan pemilu. Padahal aturan KPU mengikat semua penyelenggara (pemilu),"" ujar Wahyu.Selain menyalahi aturan, putusan Bawaslu dan Panwaslu tersebut dikhawatirkan akan memengaruhi pelaksanaan pemilu di daerah lain.Menurut Wahyu, hal tersebut akan jadi preseden yang buruk.Baca juga: MA Hentikan Sementara Gugatan Eks Napi Koruptor terhadap PKPUMenyikapi hal tersebut, Wahyu mengaku pihaknya telah mengirimkan surat kepada tiga Bawaslu dan Panwaslu terkait.Menurut Bawaslu dan Panwaslu, putusan yang mereka buat berdasarkan Undang-undang nomor 7 tahun 2017 tentang Pemilu, yang tidak melarang mantan narapidana korupsi untuk nyaleg.""Bawaslu masih berpedoman pada UU 7 tahun 2017 saja. Padahal PKPU sudah diundangkan, artinya udah sah dan diakui oleh negara,"" jelas Wahyu.Baca juga: Gerindra Anggap Ada Masalah Hukum Terkait Larangan Koruptor Jadi CalegSebelumnya, pada masa pendaftaran bacaleg, tiga mantan narapidana korupsi di tiga daerah tersebut dinyatakan tidak memenuhi syarat (TMS) oleh KPU.Ketiganya lantas mengajukan sengketa pendaftaran ke Bawaslu dan Panwaslu setempat. Hasil sengketa menyatakan ketiganya memenuhi syarat (MS) sehingga menganulir keputusan KPU yang menyatakan mereka TMS. "
2,KPU Kecewa Bawaslu dan Panwaslu Loloskan Eks Koruptor Jadi Caleg - Kompas.com,", JAKARTA, KOMPAS.com - Komisioner Komisi Pemilihan Umum ( KPU) Wahyu Setiawan mengaku kecewa dengan putusan Badan Pengawas Pemilu (Bawaslu) dan Panitia Pengawas Pemilu (Panwaslu) di tiga daerah yang meloloskan tiga mantan narapidana korupsi sebagai bakal calon legislatif (bacaleg).Menurut Wahyu, tindakan Bawaslu dan Panwaslu tersebut telah mengabaikan Peraturan KPU (PKPU) nomor 20 tahun 2018 yang jelas-jelas melarang mantan narapidana korupsi mendaftar sebagai  caleg.""Kami menyesalkan, sangat kecewa, karena Bawaslu daerah dalam hal ini mengabaikan dan tak menghormati PKPU yang sah dan dinyatakan berlaku dan diundangkan,"" kata Wahyu di kantor KPU, Jakarta Pusat, Kamis (16/8/2018).Baca juga: Sempat Masuk Daftar Caleg Eks Napi Korupsi, Ajang Supandi Lolos Verifikasi KPUBawaslu dan Panwaslu yang dimaksud adalah Panwaslih Aceh, Panwaslu Tana Toraja, dan Bawaslu Sulawesi Utara. Wahyu menjelaskan, keputusan Bawaslu dan Panwaslu di tiga daerah tersebut meloloskan tiga mantan narapidana korupsi sebagai bacaleg lantaran mereka berpedoman pada Undang-undang nomor 7 tahun 2017. Dalam UU itu, mantan narapidana korupsi tidak dilarang nyaleg.Baca juga: Pemilu 2019, Kota Padang Bebas dari Bacaleg Mantan Napi KorupsiNamun demikian, kata Wahyu, PKPU yang ada saat ini telah sah berlaku dan diundangkan. Sehingga mempertegas larangan mantan narapidana korupsi untuk mendaftarkan diri sebagai caleg.""Ini yang kami menyesalkan, kenapa Bawaslu sebagai penyelenggara pemilu bersama KPU dan DKPP (Dewan Kehormatan Penyelenggara Pemilu) tak menghormati PKPU yang sudah sah, sudah berlaku, dan sudah diundangkan oleh Kementerian Hukum dan HAM,"" tutur Wahyu.Meskipun UU nomor 7 tahun 2017 tidak dianulir, menurut Wahyu, penyelenggara pemilu tak seharusnya mengabaikan PKPU yang kedudukannya telah sah secara hukum.Baca juga: Ajukan Caleg Mantan Napi Korupsi, Parpol Akan Kehilangan Kepercayaan RakyatJika Bawaslu dan Panwaslu hendak menganulir PKPU, maka seharusnya keduanya mengajukan uji materi di Mahkamah Agung (MA).Sebab, hanya MA yang berwenang untuk membatalkan PKPU.""Lah ini Bawaslu tak melakukan pengujian tapi kemudian menafikan PKPU,"" tandas Wahyu.Baca juga: MA Belum Putuskan Uji Materi, PKPU Larangan Eks Koruptor Nyaleg Tetap BerlakuSebelumnya, pada masa pendaftaran bacaleg, tiga mantan narapidana korupsi di Aceh, Tana Toraja, dan Sulawesi Utara dinyatakan tidak memenuhi syarat (TMS) oleh KPU.Ketiganya lantas mengajukan sengketa pendaftaran ke Bawaslu dan Panwaslu setempat.Hasil sengketa menyatakan ketiganya memenuhi syarat (MS) sehingga menganulir keputusan KPU yang menyatakan mereka TMS."
3,"Banyak Anggota DPR Tak Hadir Sidang Tahunan, Bamsoet Serahkan ke Fraksi - Kompas.com",", JAKARTA, KOMPAS.com - Ketua  DPR Bambang Soesatyo menyerahkan kepada masing-masing fraksi untuk menetapkan sanksi kepada anggota DPR yang tak menghadiri  Sidang Tahunan MPR, DPR, dan DPD pada Kamis (16/8/2018).Bambang berharap setiap fraksi memberi sanksi seberat mungkin bagi kepada anggota DPR yang tidak menghadiri sidang tahunan.""Ya kami serahkan ke fraksinya untuk memberi sanksi sekeras-kerasnya dan seberat-beratnya,"" ujar Bamsoet, sapaannya, usai memimpin sidang tahunan di Kompleks Parlemen, Senayan, Jakarta.Bamsoet menerima banyak laporan terkait sejumlah anggota DPR yang tak menghadiri sidang tahunan yang telah menjadi agenda rutin setia sehari sebelum perayaan HUT RI.""Ada banyak laporan yang kami terima, karena memang musim haji. Rata-rata naik haji, rata-rata juga di daerah atau mendapat penugasan partai,"" kata dia.Baca juga: 236 Kursi Anggota Dewan Kosong di Sidang Tahunan MPRSejumlah kursi anggota DPR, MPR, dan DPD terlihat kosong dalam Sidang Tahunan MPR yang berlangsung di Kompleks Parlemen, Senayan, Jakarta, Kamis (16/8/2018).Dalam Sidang Tahunan MPR, DPR, dan DPD yang menjadi agenda tahunan itu, hanya 453 orang yang hadir dari total 689 jumlah anggota DPR, MPR, dan DPD.""Jumlah yang hadir 453 dari 689 orang,"" ucap Ketua MPR Zulkifli Hasan saat membuka Sidang Tahunan MPR.Sidang Tahunan MPR, DPR, dan DPD dihadiri oleh Presiden Joko Widodo dan Wakil Presiden Jusuf Kalla beserta seluruh menteri Kabinet Kerja.Sedianya seluruh anggota DPR, MPR, dan DPD juga hadir dalam Sidang Tahunan MPR, DPR, dan DPD yang menjadi agenda tahunan.Namun, pada penyelenggaraan Sidang Tahunan kali ini, sebanyak 236 anggota MPR yang terdiri dari anggota DPR dan DPD tidak hadir."
4,"102.976 Napi Dapat Remisi, Uang Makan Hemat Rp 118 Miliar - Kompas.com",", JAKARTA, KOMPAS.com - Kementerian Hukum dan HAM ( Kemenkumham) memberikan  remisi atau pemotongan masa tahanan kepada 102.976 narapidana pada  HUT ke-73 RI pada Jumat (17/8/2018).Menurut Direktur Jenderal Pemasyarakatan Kemenkumham Sri Puguh Budi Utami, pengurangan masa tahanan itu berdampak langsung kepada penghematan biaya makan narapidana."" Remisi tahun ini juga telah menghemat anggaran biaya makan narapidana sebesar Rp 118 miliar,"" ujarnya dalam siaran pers, Jakarta, Kamis (16/8/2018).Baca juga: HUT ke-73 RI, 102.976 Napi Dapat Remisi, 2.220 di Antaranya BebasJumlah anggaran yang dihemat itu didapatkan dari hitungan biaya makan per-orang per-hari sebesar rata-rata Rp 14.700 dikalikan 8.091.870, yakni hari yang dihemat karena remisi tersebut.Dari 102.976 napi yang mendapatkan remisi, 2.220 di antaranya langsung menghirup udara kebebasan.Sri Puguh Budi Utami mengatakan, dari 100.776 narapidana yang tak langsung bebas, 25.084 orang menerima remisi 1 bulan, 22.739 orang menerima remisi 2 bulan.Baca juga: HUT RI Ke-73, Pelaku Bom Bali Umar Patek Dapat Remisi 2 BulanSementara itu, 29.451 orang menerima remisi 3 bulan, 14.170 orang menerima remisi 4 bulan, penerima remisi 5 bulan berjumlah 7.691, dan 1.641 orang menerima remisi 6 bulan.Saat ini jumlah warga binaan yang menghuni 522 Lapas, Rutan, dan LPKA se-Indonesia berjumlah 250.452 terdiri dari narapidana berjumlah 177.691 orang dan tahanan sebanyak 72.761 orang, sedangkan daya tampung yang tersedia hanya untuk 124.696 orang."
5,"Resmikan ""Media Center"", JK Targetkan 4 Miliar Orang Tonton Asian Games 2018 - Kompas.com",", JAKARTA, KOMPAS.com - Wakil Presiden  Jusuf Kalla meresmikan media center Asian Games 2018 yang berada di Jakarta Convention Center, Kamis (16/7/2018).Kalla menuturkan, peran media center untuk pesta olahraga terbesar negara-negara Asia itu teramat penting. ""Karena tanpa hal ini tidak mungkin (penyiaran) kita mencapai seluruh dunia Asian Games ini,"" ujar Kalla usai meresmikan media center.Kalla mengatakan, sudah sering ia mengatakan bahwa pemerintah mengharapkan kesuksesan tidak hanya terkait prestasi namun juga sukses dalam penyelengaraan.Baca juga: Empat Jam Berlalu, Obor Asian Games 2018 Belum Tiba di Jakarta UtaraWapres mendapatkan laporan akan ada 10.000 lebih wartawan dalam dan luar negeri yang melaporkan penyelenggaraan Asian Games 2018. Oleh karena itu, tutur Kalla, media center menjadi penting agar 10.000 wartawan tersebut bisa melaporkan berita dengan fasiltas yang memadai.Adapun, pemerintah menargetkan agar gelaran Asian Games 2018 bisa ditonton oleh 4 miliar orang di seluruh dunia.""Karena itu saya ucapakan selamat dan terima kasih. Semoga ini diselenggarakan, diatur, dan di-back up baik sistemnya, listriknya saya kira PLN,"" kata dia.""Seluruh service yang dibutuhkan di sini inilah sebenarnya fungsi dari media center itu untuk bagaimana apa yang kita kerjakan tidak sia-sia,"" tutur Kalla."
6,"Gaji PNS Bakal Dinaikkan, Ketua DPR Minta Tak Dihubungkan ke Politik - Kompas.com",", JAKARTA, KOMPAS.com - Ketua DPR Bambang Soesatyo meminta semua pihak tidak menghubung-hubungkan rencana pemerintah menaikkan  gaji PNS sebesar 5 persen dengan aspek politik menjelang Pilpres 2019.""Harusnya kita bersyukur dan tidak menghubung-hubungkannya dengan kepentingan politik,"" kata Bamsoet, sapaannya, di Kompleks Parlemen, Senayan, Jakarta, Kamis (16/8/2018).Baca juga: Tahun Depan, Pemerintah Akan Naikkan Gaji PNS Sebesar 5 PersenIa menilai, dengan adanya rencana pemerintah menaikan gaji PNS justru menunjukan kemampuan negara untuk meningkatkan kesejahteraan aparatur.""Kita sebenarnya patut bersyukur. Kalo gaji PNS dinaikkan itu artinya pemerintah sudah punya kemampuan meningkatkan kesejahteraan birokrasinya karena itu juga termasuk bagian dari rakyat,"" lanjut dia.Sebelumnya pemerintah berencana menaikkan gaji pokok dan pensiun pokok bagi para aparatur negara pada 2019 mendatang.Baca juga: Soal Rencana Pemerintah Naikkan Gaji PNS 5 Persen, Ini Kata PrabowoRencana itu bakal dimasukkan dalam Rancangan Anggaran Pendapatan dan Belanja Negara (RAPBN) 2019.""Pada 2019, pemerintah akan menaikkan gaji pokok dan pensiun pokok bagi aparatur negara serta pensiunan sebesar rata-rata 5 persen,"" ucap Presiden Joko Widodo (Jokowi) dalam Rapat Paripurna RAPBN 2019 di Gedung DPR-RI, Senayan, Jakarta, Kamis (16/8/2018).Rencana tersebut dicanangkan pemerintah untuk melanjutkan tren positif yang terjadi pada birokrasi selama 2018.Baca juga: Jokowi Naikkan Gaji PNS 5 Persen, PKS Nilai Terkait Pilpres 2019Pada 2018, pemerintah telah melakukan percepatan pelaksanaan reformasi di 86 kementerian/lembaga (K/L) guna memberikan pelayanan publik yang lebih mudah, baik, dan cepat, serta transparan.Rencana kenaikan gaji pokok dan pensiun pokok itu pun diharapkan Jokowi bisa semakin memberikan peningkatan kualitas birokrasi dalam negeri.""Peningkatan kualitas dan motivasi birokrasi terus dilakukan agar aparatur negara makin profesional, bersih, dan terjaga kesejahteraannya,"" tutur Jokowi."
7,MUI Sebut Ma'ruf Amin Bakal Mundur dari Jabatan Ketua - Kompas.com,", JAKARTA, KOMPAS.com - Wakil Ketua Umum Majelis Ulama Islam ( MUI) Zainut Tauhid menyatakan, Ketua Umum MUI  Ma'ruf Amin akan mundur dari jabatannya lantaran mendaftar sebagai cawapres pendamping Presiden Joko Widodo di  Pilpres 2019.""Iya (mundur). Kami akan melihat kembali aturan yang ada di dalam APD/PRT. Pedoman Dasar dan Pedoman Rumah Tangga,"" kata Zainut di Kompleks Parlemen, Senayan, Jakarta, Kamis (16/8/2018).Baca juga: Maruf Amin Akan Ikuti Mekanisme Aturan Terkait Jabatan Ketua MUIIa memastikan MUI akan membahas kelanjutan status Ma'ruf sebagai Ketua MUI sebagai konsekuensi atas pendaftarannya sebagai cawapres.Namun, dalam waktu dekat hal itu belum bisa dilakukan karena banyaknya pimpinan MUI yang pergi menunaikan ibadah haji.""Belum, belum dibahas. Ini kebetulan banyak pengurus yang berangkat haji. Jadi kami belum bisa menyelenggarakan rapat untuk itu,"" lanjut dia."
8,Politisi PAN Setuju Djoko Santoso Jadi Ketua Timses Prabowo-Sandiaga - Kompas.com,", JAKARTA, KOMPAS.com - Wakil Ketua Umum Partai Amanat Nasional Mulfachri Harahap menyatakan, partainya setuju atas penunjukan  Djoko Santoso sebagai ketua tim sukses pasangan bakal calon presiden dan bakal calon wakil presiden Prabowo Subianto-Sandiaga Uno.Sebab, kata Mulfachri, sebagai capres, Prabowo memiliki hak penuh untuk menunjuk ketua tim sukses.""Kami sepakat. Soal tim pemenangan itu sepenuhnya menjadi otoritas Pak Prabowo,"" ujar Mulfachri di Kompleks Parlemen, Senayan, Jakarta, Kamis (16/8/2018). ""Tentu beliau akan memilih orang yang dianggap mampu bekerja sama kemudian sudah lama saling kenal sehingga tahu karakter satu dengan yang lain,"" kata dia. Baca juga: PKS Nilai Djoko Santoso Mampu Antisipasi Isu SARA pada Pilpres 2019Mulfachri mengatakan, yang terpenting adalah ketua tim sukses memiliki kemampuan untuk mengoordinasi tim kampanye dan memaksimalkan potensi yang ada dari seluruh elemen di dalam tim.Ia pun menilai Djoko Santoso memiliki kapasitas untuk melakukan dua hal tersebut. Sebab, Djoko Santoso pernah menjabat Panglima TNI di era kepresidenan Susilo Bambang Yudhoyono (SBY).""Ya saya kira Pak Djoko sebagai Jenderal TNI sudah teruji ya, pernah menjadi KSAD dan Panglima dan sejumlah jabatan strategis lainnya. Saya kira tidak ada keraguan terhadap beliau. Kalaupun nanti beliau yang dipilih tentu sebagai pratai koalisi kami akan back up full,"" kata Mulfachri.Baca juga: PAN Minta Penunjukkan Djoko Santoso Dibahas Dulu Bersama Koalisi PrabowoSebelumnya, Wakil Ketua DPP Partai Gerindra Edhy Prabowo mengungkapkan bahwa bakal calon presiden Prabowo Subianto menunjuk anggota Dewan Pembina Partai Gerindra Djoko Santoso sebagai tim pemenangan pasangan  Prabowo-Sandiaga pada Pilpres 2019.Menurut Edhy, mantan Panglima TNI periode 2007-2010 itu juga sudah menyatakan kesediaannya sebagai ketua tim pemenangan.""Jadi Pak Prabowo memunjuk Pak Djoko, menanyakan ke Pak Djoko apakah beliau bersedia dan Pak Djoko bersedia,"" ujar Edhy saat ditemui di kediaman Prabowo, Jalan Kertanegara, Jakarta Selatan, Selasa (14/8/2018) malam."
9,"HUT ke-73 RI, 102.976 Napi Dapat Remisi, 2.220 di Antaranya Bebas - Kompas.com",", JAKARTA, KOMPAS.com - Kementerian Hukum dan HAM ( Kemenkumham) memberikan  remisi kepada 102.976 narapidana pada peringatan Hari Kemerdekaan ke-73 Republik Indonesia  pada Jumat (17/8/2018).Pemotongan masa tahanan yang diberikan pemerintah yakni sebanyak 1-6 bulan.  Remisi diberikan kepada narapidana yang dianggap berkelakukan baik.""2.220 di antaranya langsung menghirup udara kebebasan,"" kata Direktur Jenderal Pemasyarakatan Sri Puguh Budi Utami dalam keterangan pers, Jakarta, Kamis (16/8/2018).Baca juga: HUT RI Ke-73, Pelaku Bom Bali Umar Patek Dapat Remisi 2 BulanSri Puguh mengatakan, dari 100.776 narapidana yang tak langsung bebas, 25.084 orang menerima remisi 1 bulan, 22.739 orang menerima remisi 2 bulan.Sementara itu, 29.451 orang menerima remisi 3 bulan, 14.170 orang menerima remisi 4 bulan, penerima remisi 5 bulan berjumlah 7.691, dan 1.641 orang menerima remisi 6 bulan.Lebih lanjut Sri Puguh mengatakan, remisi bukan sekedar pemberian hadiah. Namun juga momentum untuk mengembalikan marwah lapas.Baca juga: 5.749 Napi Dapat Remisi di Jateng, 62 Orang Langsung BebasMenurutnya, lapas menempatkan penilaian perubahan perilaku menjadi indikator utama dalam proses pemasyarakatan. Tujuannya, menciptakan pemulihan dan menurunnya angka resedivis.Hingga saat ini jumlah warga binaan yang menghuni 522 Lapas, Rutan, dan LPKA se-Indonesia berjumlah 250.452 terdiri dari narapidana berjumlah 177.691 orang dan tahanan sebanyak 72.761 orang, sedangkan daya tampung yang tersedia hanya untuk 124.696 orang."
