	Judul	Konten
0	Teruji jadi jenderal, Djoko Santoso didukung PAN pimpin tim pemenangan Prabowo-Sandi | merdeka.com	"	 Merdeka.com - Partai Amanat Nasional mendukung mantan Panglima TNI Jenderal (Purn) Djoko Santoso menjadi ketua tim pemenangan Prabowo Subianto-Sandiaga Uno. Wakil Ketua Umum PAN Mulfachri Harahap mengatakan sejak awal koalisi partai pendukung menyerahkan sepenuhnya keputusan soal ketua tim pemenangan kepada Prabowo dan Sandi.""Kita sepakat. Soal tim pemenangan itu sepenuhnya menjadi otoritas pak Prabowo,"" kata Mulfachri di Kompleks Parlemen, Senayan,  Jakarta, Kamis (16/8).PAN tidak meragukan kemampuan Djoko mengelola tim pemenangan Prabowo-Sandi. Mulfachri menilai Djoko memenuhi kualifikasi menjadi ketua tim pemenangan jika melihat segudang pengalamannya di militer.""Ya saya kira pak Djoko sebagai jenderal TNI sudah teruji ya, pernah menjadi KSAD dan sejumlah jabatan strategis lainnya. Saya kira tidak ada keraguan terhadap beliau,"" ujar dia.Koalisi partai pendukung Prabowo-Sandi siap membantu Djoko bila akhirnya dipercaya menjadi ketua tim pemenangan.""Kalaupun nanti beliau yang dipilih tentu sebagai partai koalisi kita akan backup full,"" klaimnya.Mulfachri meyakini Prabowo pasti tidak sembarangan memilih Djoko. Dalam memilih ketua tim pemenangan, kata dia, Prabowo mempertimbangkan sosok yang mampu bekerja, loyal dan bisa mengkoordinir seluruh anggota tim dengan baik.""Tentu beliau akan memilih orang yang dianggap mampu bekerja sama kemudian sudah lama saling kenal sehingga tahu karakter satu dengan yang lain dan di luar yang sifatnya personal tadi,"" papar Mulfachri.""Tentu ketua tim harus lah orang yang mampu melakukan koordinasi dengan baik, membangun sinergi kemudian memaksimalkan semua potensi yang ada pada seluruh anggota tim,"" sambungnya.Wakil Ketua Komisi III menyatakan PAN tak mempersoalkan jika tidak mendapatkan efek elektoral karena bukan kader mereka yang menjadi ketua tim. Bagi PAN, tujuan terpenting adalah memenangkan kontestasi Pilpres 2019.""Saya kira enggak ada masalah karena our ultimate goal adalah memenangkan pilpres,"" tandasnya. [dan]"
1	Sekjen PPP sebut misi Prabowo-Sandi ke PBNU minta dukungan & masukan program | merdeka.com	"	 Merdeka.com - Sekjen PPP Arsul Sani menduga bakal calon presiden dan wakil presiden Prabowo Subianto-Sandiaga Uno memiliki tujuan khusus datang bersilaturahmi ke PBNU. Pertama, Prabowo-Sandiaga kemungkinan meminta dukungan dan masukan soal program pemerintahan ke depan.""Saya kira pada level capres seperti pak Prabowo atau pak Jokowi, kalau datang itu kan tidak sekadar kemudian 'saya minta didukung dong', tetapi yang utama diminta itu masukan apa yang harus dikerjakan atau kedepankan sebagai janji kampanye,"" kata Arsul di Kompleks Parlemen, Senayan,  Jakarta, Kamis (16/8).Tujuan kedua, Prabowo-Sandi meminta bantuan organisasi keagamaan seperti PBNU dan Muhammadiyah dalam meluruskan isu-isu miring yang mengarah kepada mereka.""Pasti minta dibantu karena organisasi seperti Muhammadiyah dan NU punya pengaruh besar di anggotanya. Kalau ada isu-isu miring dan sebagainya ada kemudian saluran untuk netralisirnya,"" ujarnya.Di luar dua dugaan itu, menurut Arsul, secara umum silaturahmi memiliki beberapa manfaat, di antaranya menambah rezeki dan mencegah kesalahpahaman.""Silaturahmi itu memperpanjang umur dan menambah rezeki. Jadi bagi capres itu kan rejekinya kalau terpilih jadi presiden. Memperpanjang umur ya paling tidak untuk tidak mencegah kesalahpahaman,"" tandas Arsul. [dan]"
2	Pidato Zulkifli Hasan di Sidang Tahunan MPR buat koalisi Jokowi geram | merdeka.com	"	 Merdeka.com - Pidato Ketua MPR Zulkifli Hasan yang menyinggung soal aspirasi emak-emak kepada Presiden Joko Widodo (Jokowi) menuai protes dari partai-partai Koalisi Indonesia Kerja. Sekjen PPP Arsul Sani mengatakan partainya, PKB, dan Hanura keberatan dengan pidato tersebut.Lewat pidatonya, Zulkifli menyampaikan titipan dari emak-emak agar harga bahan pokok lebih terjangkau. Pidato itu disampaikan dalam sidang tahunan MPR-DPR-DPD, Kamis (16/8).""Itu dari floor kan di barisan saya PKB, PPP, Hanura ngomel semua (dengar pidato Zulkifli Hasan),"" kata Arsul di Kompleks Parlemen, Senayan,  Jakarta, Kamis (16/8).Sebagai Ketua MPR, kata Arsul, Zulkifli harusnya berimbang dalam menyampaikan pidato. Zulkifli seharusnya memberikan apresiasi terlebih dahulu soal capaian pemerintah, baru menyoroti kekurangan-kekurangan.""Ketika dia menyoroti pemerintahan dia hanya menyoroti permasalahan tidak disoroti capaiannya. Kan harus berimbang karena ini forum MPR loh. Jadi harus berimbang dong,"" tegas dia.""Harusnya malah capaian dulu diapresiasi tapi juga diberi catatan kekurangan-kekurangannya. Dia kan lebih mendetilkan kekurangan-kekurangannya kan,"" sambung Arsul.Ketua Majelis Permusyawaratan Rakyat (MPR) Zulkifli Hasan membacakan pidato dalam sidang tahunan MPR-DPR-DPD. Dalam pidatonya, Zulkifli sempat menyampaikan soal aspirasi 'emak-emak' kepada Presiden Joko Widodo.Zulkifli mengatakan 'emak-emak' di Indonesia menginginkan agar harga kebutuhan pokok lebih terjangkau. Hal ini agar para 'emak-emak' bisa memenuhi kebutuhan keluarga mereka.""Bapak presiden ini titipan emak emak titipan rakyat Indonesia agar harga harga terjangkau, agar kebutuhan sehari-hari,"" kata Zulkifli. [rzk]"
3	Urusan selingkuh sampai utang piutang warnai Tanggapan DCS Bacaleg Kota Malang | merdeka.com	"	 Merdeka.com - Komisi Pemilihan Umum Daerah (KPUD) Kota  Malang telah menerbitkan Daftar Calon Sementara (DCS) bakal calon anggota legislatif (Bacaleg). Selama tahap tanggapan dalam rentang 12 - 21 Agustus, masyarakat diminta memberikan tanggapan atas para bacaleg tersebut.Komisioner Divisi Sosialisasi dan Humas KPUD Kota Malang, Ashari Husein mengatakan, materi tanggapan yang masuk justru berkaitan dengan masalah pribadi. Tanggapan yang masuk tersebut di antaranya urusan asmara, tepatnya dugaan perselingkuhan dan konflik utang piutang.""Datang memberi tanggapan, tapi kan gak masuk ranah kita,"" kata Ashari Husein, Kamis (16/8).Laporannya tersebut menyatakan kalau salah satu bacaleg perempuan yang terdapat dalam DCS pernah berselingkuh. Laporan itu disampaikan oleh suaminya sendiri. Selain itu, juga masuk laporan ke KPUD terkait urusan utang piutang.""Kita enggak bisa terima atau diabaikan karena kami hanya menerima pengaduan yang terkait administratif syarat calon. Termasuk yang enggak bisa tadi masalah utang piutang,"" jelasnya.Kata Husein, tanggapan yang bisa diproses KPUD harus berkaitan dengan administrasi calon legislatif di antaranya urusan ijazah atau surat keterangan lainnya.Tercatat 535 nama masuk dalam DCS dari 581 orang yang mendaftar melalui 14 partai politik. Dua partai politik tidak mengajukan bakal calonnya yakni Partai Garuda dan PKPI.Selanjutnya pada tahap verifikasi, 19 nama dicoret lantaran tidak memenuhi persyaratan, di antaranya dari Partai Golkar, Partai NasDem, Partai Perindo masing-masing satu orang, dari Partai Berkarya sebanyak dua orang, PPP sebanyak 5 orang, PAN sebanyak 3 orang, dan PBB sebanyak 6 orang. [rzk]"
4	Politisi PDIP soal kritik Zulhasan: Sidang tahunan MPR bukan forum partisan | merdeka.com	"	 Merdeka.com - Ketua MPR Zulkifli Hasan menyampaikan kritikannya kepada pemerintahan Jokowi-JK saat berpidato dalam Sidang Tahunan MPR, DPR dan DPD bersama Presiden Jokowi dan Wapres Jusuf Kalla. Zulkifli Hasan mengritik harga bahan pokok yang melonjak tinggi dan dikeluhkan para 'emak-emak' di Indonesia.Kritik pria yang biasa disapa Zulhas itu pun menuai reaksi dari PDIP. Politikus PDIP Charles Honoris menyesalkan kritik yang disampaikan Ketum PAN itu. Sebab, kritik disampaikan dalam forum tahunan untuk penyampaian laporan kinerja lembaga negara.""Pasal 66 Peraturan MPR Nomor 1 Tahun 2014 itu menyebutkan sidang tahunan itu untuk 'memfasilitasi lembaga-lembaga negara menyampaikan laporan kinerja'. Jadi, bukan forum untuk politik partisan,"" kata Charles, Kamis (16/8).Dia menegaskan, seharusnya pidato Zulhas fokus saja pada laporan kinerja MPR selama setahun ke belakang, seperti yang dilakukan Ketua DPR dan Ketua DPD. Menurutnya, kritik Zulhas kepada Jokowi tidak terlepas dari posisi PAN di Pilpres 2019.""Jadi Pak Zulkifli seharusnya sadar bahwa dia pidato sebagai Ketua MPR, bukan Ketum PAN yang sudah mendukung kubu lain, sehingga dia terlihat sangat bersemangat mengkritik Jokowi,"" katanya.Anggota Komisi I DPR ini mengatakan, Sidang Tahunan MPR, DPR dan DPD juga adalah forum terhormat dan pemersatu menjelang peringatan Hari Kemerdekaan 17 Agustus.""Ini malah dijadikan forum partisan. Jelas Ketua MPR kali ini bukan seorang negarawan,"" katanya.Selain itu, Charles juga mengkritik balik kritik Zulhas yang menurutnya tidak berbasis data. Misalnya soal harga sembako dan daya beli masyarakat yang disebut Zulhas sebagai 'aspirasi emak-emak'.""Kalau disebut Pak Zulkifli harga-harga mahal mana datanya? Menurut data BPS per Juli 2018, inflasi kita saja 3,18 persen. Inflasi serendah ini tidak pernah terjadi di era pemerintahan sebelumnya,"" katanya.Sementara soal kemiskinan, dia menyatakan baru di era Jokowi angka kemiskinan menyentuk satu digit. Menurut data BPS, angka kemiskinan per Maret 2018 sebesar 25,95 juta jiwa (9,82 persen).""Jadi turun signifikan dari 28,59 jiwa per Maret 2015, Ini terendah dalam sejarah. Jadi kalau mengkritik harus berbasis data jangan fiksi. Karena ukuran keberhasilan kinerja Pak Jokowi berdasarkan data. Bukan asal omong,"" katanya. [dan]"
5	Said Aqil kukuh sebut Mahfud MD bukan kader tapi akui warga NU | merdeka.com	"	 Merdeka.com - Ketua Umum Pengurus Besar Nahdlatul Ulama (PBNU) Said Aqil Siradj angkat bicara soal pernyataan Mahfud MD yang jor-joran mengungkap penyebab dirinya batal menjadi cawapres Jokowi. Said Aqil menilai apa yang diungkapkan Mahfud MD adalah guyonan.""Katanya itu guyon, ya saya tanggap saja itu guyon,"" kata Said di kantor PBNU,  Jakarta, Kamis (16/8).Said menilai tak perlu merencanakan bertemu dengan Mahfud MD untuk mengklarifikasi hal tersebut. Namun demikian dirinya mengaku siap jika harus bertemu Mahfud MD.""Enggak usah direncanakan kok. Enggak usah direncanakan. Ketemu ayo,"" jelas Said.Said menyatakan Mahfud MD bukan pengurus harian PBNU. Dirinya menyebut Mahfud pernah menjadi penasihat GP Ansor. Namun posisi itu bukan pengurus harian.""Penasihat (GP Ansor), bukan pengurus. Tidak, bukan harian, bukan harian,"" jelas Said.Meski begitu, Said Aqil tetap menegaskan bahwa Mahfud MD termasuk warga dan menjalankan tradisi NU.""Warga NU iya. Kulturnya, pengamalannya, ibadahnya, cara Islamnya, Islam NU,"" katanya.Reporter: Putu Merta Surya PutraSumber: Liputan6.com [dan]"
6	Penjelasan Said Aqil soal kartu anggota NU untuk Prabowo | merdeka.com	"	 Merdeka.com - PBNU akan memberikan kartu anggota kepada bakal calon Presiden Prabowo Subianto, hari ini, Kamis (16/8). Kartu anggota Nahdlatul Ulama (NU) itu diberikan langsung oleh Ketua PBNU Said Aqil Siradj.Said Aqil mengatakan, tidak ada perbedaan kartu anggota yang diterima oleh Prabowo dengan milik mantan Ketum Golkar Setya Novanto. Kartu itu diberikan lantaran Ketum Gerindra itu memintanya.Pernyataan ini menanggapi komentar Mahfud MD terkait kartu anggota. Karena mantan Hakim Konstitusi itu sempat dituding bukan NU, menyinggung kartu tersebut. Bahkan, dia menyindir soal Setya Novanto yang juga memperolehnya.""Siapa pun orang yang minta kartu saya kasih. Pak Setya Novanto itu minta, Setya Novanto dulu waktu jadi Ketua DPR dulu minta kartu, masa enggak boleh,"" kata Said Aqil di kantornya,  Jakarta, Kamis (16/8).Dia mengungkapkan, Mahfud tak pernah meminta kartu tersebut. Bahkan dirinya menyebut Mahfud tak pernah datang ke kantor PBNU.""Enggak pernah minta, enggak pernah. Ke sini aja enggak pernah, enggak pernah,"" jelasnya.Dia pun menyebut jika nantinya Mahfud MD meminta, maka dirinya akan memberikan. ""Ya kasih dong,"" pungkasnya.Reporter: Putu Merta SuryaSumber: Liputan6.com [fik]"
7	Demokrat: Sempat diminta jadi ketua tim pemenangan Prabowo, AHY pilih Kogasma | merdeka.com	"	 Merdeka.com - Nama Waketum Gerindra Djoko Santoso digadang menjadi komandan tim pemenangan pasangan Prabowo-Sandiaga Uno. Sebelum nama Djoko Santoso muncul, Waketum Demokrat Roy Suryo mengaku nama Kogasma Agus Harimurti Yudhoyono (AHY) yang diusulkan lebih dulu.""Sebelum Pak Djoksan (Djoko Santoso), beredar nama mas AHY. Tapi saya rasa mas AHY masih punya tugas yang besar selaku komandan Kogasma. Tawaran itu ada sebelum nama pak Djoko Santoso muncul. Tapi pak Djoksan, saya pribadi itu pilihan yang tepat. Tapi keputusan ada tim yang dikoordinasikan di level sekjen,"" katanya di Gedung DPR, Senayan,  Jakarta, Kamis (16/8).Nama Djoko Santoso juga akan dibahas oleh Gerindra, PKS, PAN dan Demokrat. Menurut Roy, wajar jika Gerindra mengusulkan Djoko Santoso. Sebab Prabowo dan Sandiaga merupakan kader Gerindra.""Ya nanti akan kita bahas. Dan pada prinsipnya karena kebetulan capresnya itu pak prabowo dan cawapresnya pak Sandiaga, dua-duanya dari Gerindra. (Prabowo-Sandiaga), tentu memang inisiatifnya pertama kali, wajar dari partai Gerindra. Jadi nanti kita lihat saja,"" ucap Roy.Selain itu, nama Ketum Demokrat Susilo Bambang Yudhoyono (SBY) juga disebut sebagai ketua Dewan Pembina Tim Pemenangan Prabowo-Sandiaga. Mantan Menpora ini gembira jika bosnya berada di posisi itu.""Kami sudah mendengar itu, dan partai Demokrat ucapkan terima kasih atas kepercayaan yang ada, tapi nanti jawaban akan disampaikan langsung oleh pak SBY. Permintaan itu sebenarnya bukan permintaan yang baru,"" ucap Roy.""Dulu saat di Kertanegara, pernah juga saya mendengar langsung, pas pak SBY dan rombongan partai Demokrat ke sana, memang permintaan, istilah super mentor itu ada. Tapi nanti kita lihat perkembangannya. Karena meskipun Demokrat dukung penuh pak Prabowo-Sandiaga, kita menyesuaikan dengan struktur yang dibentuk di bawah ketua timnya pak Djoko Santoso,"" tandasnya. [ded]"
8	Sandiaga pilih jabarkan ekonomi dan layani selfie saat ditanya tudingan Andi Arief | merdeka.com	"	 Merdeka.com - Bakal Calon Wakil Presiden Sandiaga Salahuddin Uno, tampaknya sudah mulai enggan menjawab pertanyaan terkait tudingan Wakil Sekjen Demokrat Andi Arief. Dia memilih bungkam saat ditanya perihal itu, dan menjawab pertanyaan perihal ekonomi.Dimana baru-baru ini Andi dalam Twitternya, memberi sinyal bahwa Demokrat hanya akan terlibat dalam kampanye Prabowo. Dan tak akan bergerak ke Sandiaga.Mantan Wakil Gubernur DKI itu, terus dicecar oleh awak media perihal ini. Namun, dia memilih berjalan sambil tersenyum dan menyapa orang-orang yang mendukungnya. Bahkan dirinya sempat melayani seseorang yang memberikannya foto dan gambar untuk kampanye nanti.Bukan hanya itu saja, Sandiaga juga sempat bertanya kepada salah satu jurnalis media televisi yang terlihat diam dan tak menanyakan apapun kepadanya. ""Enggak ada pertanyaan,"" ucap Sandiaga, yang tetap mengacuhkan pertanyaan awak media lainnya.Dia pun langsung masuk mobil, dan beranjak pergi dari kantor PBNU.Di tempat yang sama, Wakil Ketua Umum Gerindra Ferry Juliantono, membantah Sandiaga menghindar kala disinggung Andi Arief. Menurutnya masalah itu sudah selesai.""Ya enggak, kan sudah jelas menyatakan tidak benar. (Soal cuitan Andi terbaru) terserah dialah. Saya juga males jawabnya, maksud saya itu sudah jelas dan tidak benar,"" pungkasnya.Reporter: Putu Merta Surya PutraSumber: Liputan6.com [ded]"
9	Ketua DPR nilai pidato Zulkifli Hasan kritik buat pemerintah | merdeka.com	"	 Merdeka.com - Ketua MPR Zulkifli Hasan memberikan pidatonya dalam Sidang Tahunan MPR, DPR dan DPD bersama Presiden Joko Widodo (Jokowi) dan Wakil Presiden Jusuf Kalla, Kamis (16/8). Dalam pidatonya, pria yang akrab disapa Bang Zul itu sempat memberikan kritik harga bahan pokok yang melonjak tinggi dan dikeluhkan para 'emak-emak' di Indonesia.Mendengar kritikan tersebut Ketua DPR Bambang Soesatyo (Bamsoet) enggan banyak berkomentar. Dia menganggap pidato Zul adalah saran yang konstruktif.""Ya menurut saya selama itu saran-saran yang konstruktif itu tidak masalah,"" kata Bamsoet di Kompleks Parlemen, Senayan,  Jakarta, Kamis (16/8).Menurut Bamsoet, masyarakat bebas memberikan saran kritik maupun koreksi kepada pemerintah dan DPR. Sebab itulah dia enggan berkomentar banyak mengenai ucapan Ketua Umum Partai Amanat Nasional (PAN) itu.""Saya enggak mau berkomentar karena itu adalah domainnya MPR,"" ucapnya.Sebelumnya, Ketua MPR Zulkifli Hasan membacakan pidato dalam sidang tahunan MPR, DPR, DPD. Dalam pidatonya, Zulkifli sempat menyampaikan soal aspirasi 'emak-emak' kepada Presiden Joko Widodo.Zulkifli mengatakan 'emak-emak' di Indonesia menginginkan agar harga kebutuhan pokok lebih terjangkau. Hal ini agar para 'emak-emak' bisa memenuhi kebutuhan keluarga mereka.""Bapak presiden ini titipan emak emak titipan rakyat Indonesia agar harga harga terjangkau, agar kebutuhan sehari-hari,"" kata Zulkifli. [fik]"
