,Judul,Konten
0,Ma'ruf Amin dan Konsepnya dalam Membangun Bangsa : Okezone News,", JAKARTA -  KH Ma'ruf Amin berani mengambil posisi sebagai calon wakil presiden (cawapres) mendampingi Joko Widodo (Jokowi) bukan dengan otak kosong. Namun, ia memiliki segudang konsep dalam membangun bangsa. Berbicara perekonomian, Ma'ruf Amin tentunya akan cenderung syariah, atau seperti sebelumnya mencuat ke publik adalah konsep Mustadh'afin. Namun, sebelum berangkat ke sana, dirinya ingin berbicara dulu soal pondasinya.Ada dua hal terpenting yang menurutnya bisa menopang terjadinya pembangunan bangsa dengan baik. Pertama, adalah ukhuwah islamiyah (persaudaraan umat Islam) dan ukhuwah wathaniyah (persaudaraan kebangsaan), dan itulah yang harus dijaga lebih dahulu.  ""Prinsip ini yang ingin kita teguhkan, jangan sampai ada yang tidak punya komitmen kebangsaan dan juga kita juga harus punya kesepakatan mekanisma dalam menyampaikan aspirasi, yaitu melalui mekanisme yang diatur dalam UU 1945,"" ujarnya dalam wawancara dengan Tim iNews TV, Kamis (16/8/2018). Untuk itu, tidak boleh lagi ada radikalisme, apalagi terorisme. Konsep tersebut merupakan konsep dasar. Bila mampu menjaga dua tersebut, maka negara ini akan aman. ""Negara ini akan terjaga daripada perpecahan. Kedua yang harus diciptakan keamanan dan perdamaian. Negara kalau tidak aman tidak bisa membangun, contoh Afganistan, dia negara paling kaya di dunia, gasnya kemudian minyaknya terbesar, tapi tidak bisa (membangun), kenapa? karena tidak damai. Perang terus,"" tuturnya.  Ma'ruf pun memaparkan lima prinsip penting dalam konsep Islam. Pertama, terjaganya agama, terjaganya jiwa, terjaganya akal, terjaganya keturunan, dan terjaganya harta. Namun, masih perlu ditambah dua lagi. ""Terjaganya keselamatan dan keamanan. Kalau tanpa dua ini enggak bisa kita (membangun bangsa),"" katanya.          (Ari)"
1,Ketum PBNU Anggap Ocehan Mahfud MD Hanya Guyonan  : Okezone News,", JAKARTA – Ketua Umum Pengurus Besar Nahdlatul Ulama (PBNU) Said Aqil Siradj tak terlalu memusingkan ocehan mantan Ketua Mahkamah Konstitusi (MK) Mahfud MD yang menyudutkan pimpinan-pimpinan NU soal kegagalannya menjadi calon wakil presiden (cawapres) pendamping Joko Widodo (Jokowi). Said Aqil menyebut pernyataan Mahfud itu hanya sebuah bercandaan, sehingga ia tak akan menanggapinya. ""Katanya itu guyon, ya saya tanggap aja itu guyon,"" kata Said Aqil di Kantor PBNU, Jakarta Pusat, Kamis (16/8/2018).Said Aqil pun bersedia bertemu anggota Unit Kerja Presiden Pembinaan Ideologi Pancasila (UKP-PIP) bila yang bersangkutan ingin bertemu dengannya. Namun, ia tak bisa memprediksi kapan pertemuan itu akan berlangsung. ""Enggak usah direncanakan kok. Enggak usah direncanakan. Ketemu ayok,"" ujarnya. Sebagaimana diketahui, Mahfud menganggap klaim Said Aqil bahwa Ia belum pernah menjadi kader dan aktif di NU adalah keanehan. Ia lahir dan besar di tengah kultur keluarga NU. Mahfud juga mengaku pernah mondok di pesantren NU dan banyak berkegiatan di lingkungan NU.  (Baca Juga : Said Aqil Bakal Siapkan Kartu Anggota NU untuk Prabowo)  ""Saya juga sampai hari ini pengurus ISNU, yang melantik Pak Aqil Siradj. Pak Aqil sering sebut saya kader NU, dulu waktu ramai kasus kardus Duren,"" kata Mahfud MD di Indonesia Lawyers Club (ILC) tvOne, Selasa, 14 Agustus 2018.  (Baca Juga : Said Aqil : Saya Akan Berikan KTA NU ke Mahfud MD kalau Beliau Minta)           (erh)"
2,"Ma'ruf Amin: Kalau Saya Tidak Ambil, Mungkin yang Diambil Bukan Ulama    : Okezone News",", JAKARTA - Calon wakil presiden (cawapres) pendamping Joko Widodo (Jokowi) di Pemilihan Presiden (Pilpres) 2019, KH Ma'ruf Amin merasa nyaman di lingkungan Pengurus Besar Nahdlatul 'Ulama (PBNU) dan Majelis Ulama Indonesia (MUI).  ""Saya sangat mengerti itu dan paham, menempatkan di rais am sangat tertinggi, ketua MUI sangat terhormat. Saya sebenarnya nyaman di jalur itu, berasa ada di habibat, sejak kecil saya dibangun dan dibentuk dilingkungan seperti itu,"" kata Ma'ruf Amin saat diwawancarai Tim iNews TV, Kamis (16/8/2018).  Namun, sambung dia, ia melangkah lagi untuk yang lebih besar dan umat Islam secara menyeluruh.""Tapi ketika itu saya harus melangkah, saya tidak tau apa lebih besar apa lebih luas, tapi saya disini melihat ada maslahat, ada manfaat yang kalau disini hanya sebatas kelompok NU, di posisi ini saya di ajak untuk memberikan kemaslatan keseluruhan lapisan bangsa Indonesia,"" tuturnya.   Menurutnya, dipilihnya ia sebagai Cawapres dari Joko Widodo sangat mengangkat ulama, yang artinya ulama dibutuhkan untuk pembangunan nasional.  ""Saya merasa bahwa ini penghargaan ulama, ulama diberi peran, ulama juga dibutuhkan di dalam rangka pembangunan nasional. Oleh karena itu, penghargaan ini kita respon, dan kesempatan ini harus kita ambil, sebagian daripada kiprah lebih besar ketatanegaraan kebangsaan. Kalau saya tidak ambil, mungkin yang diambil bukan ulama,"" pungkasnya.  (wal)"
3,Said Aqil : Saya Akan Berikan KTA NU ke Mahfud MD kalau Beliau Minta  : Okezone News,", JAKARTA – Ketua Umum Pengurus Besar Nahdlatul Ulama (PBNU) Said Aqil Siradj mengatakan, pihaknya bakal memberikan kartu tanda anggota (KTA) NU kepada mantan Ketua Mahkamah Konstitusi Mahfud MD bila yang bersangkutan meminta kepada dirinya. Said Aqil menjelaskan, selama ini Mahfud MD memang tak pernah meminta KTA NU, sehingga ia tak pernah memberikannya. Pihaknya tak pernah mempersulit seseorang bagi yang ingin bergabung ke dalam organisasi Islam tersebut.""Enggak pernah minta (KTA NU), enggak pernah. Ya kasih dong (kalau minta),"" kata Said Aqil di Kantor PBNU, Jakarta Pusat, Kamis (16/8/2018). Sebelumnya dalam acara Indonesia Lawyers Club (ILC) tvOne pada Selasa (16/8/2018), Mahfud MD cukup menyesalkan pernyataan Said Aqil yang menyatakan dirinya belum pernah jadi kader NU lantaran tak memiliki KTA. Said Aqil mengakui kalau anggota Unit Kerja Presiden Pembinaan Ideologi Pancasila (UKP-PIP) itu menganut paham keislaman yang dianut oleh kader-kader NU. Oleh sebab itu, dengan senang hati dirinya akan memberikan KTA ke Mahfud bila beliau ke kantor PBNU. ""Ke sini (kantor PBNU) aja enggak pernah, enggak pernah,"" ujarnya.  (Baca Juga : Said Aqil Sebut Curhatan Mahfud MD soal Gagal Jadi Cawapres Hanya Guyonan)  Sebagaimana diketahui, usai Said Aqil bertemu dengan bakal capres Prabowo Subianto di kantor PBNU, ia berjanji akan membuatkan KTA NU kepada eks Danjen Kopassus tersebut. ""Insyaallah akan disiapkan kartu NU untuk pak Prabowo,"" kata Said Aqil, hari ini.  (Baca Juga : Said Aqil Bakal Siapkan Kartu Anggota NU untuk Prabowo)            (erh)"
4,Blak-blakan Ma'ruf Amin di Balik Terpilihnya Jadi Cawapres Jokowi    : Okezone News,", JAKARTA - Joko Widodo akhirnya memilih Ketua Umum Majelis Ulama Indonesia (MUI) Ma'ruf Amin sebagai pendampingnya untuk maju di Pemilihan Presiden (Pilpres) 2019 mendatang.  Ma'ruf Amin pun mengaku dirinya sangat kaget dipilih menjadi bakal calon wakil presiden saat detik-detik terakhir. Menurutnya, orang nomor satu di Indonesia itu tidak pernah bicara dengan dirinya.""Pak Jokowi tidak pernah bicara akan memilih saya, jangankan bicara, isarat pun tidak ada bahwa beliau memilih saya. Kan yang saya dengar orang lain yang akan dipilih,"" kata Ma'ruf Amin saat diwawancarai Tim iNews TV, Kamis (16/8/2018).  Rais 'Aam Syuriah Pengurus Besar Nahdlatul 'Ulama (PBNU) ini menambahkan, Presiden Jokowi sudah mengetahui siapa orang yang dipercayakan untuk mendampingi dirinya di Pilpres 2019.  ""Saya sudah bilang, siapa saja orang yang dipilih Pak Jokowi kita harus terima. Saya kira Pak Jokowi tau yang dibutuhkan oleh beliau, tentu kita percayakan, jadi tidak mengintervensi atau menekan menurut saya tidak perlu. Beliau tau siapa yang terbaik,"" sambung pria kelahiran 11 Maret 1943 itu.   Cicit Syekh Nawawi Al-Bantani ini menegaskan, jika diminta untuk berbakti kepada negara harus bersedia karena untuk kemaslahtan bangsa dan negara.  ""Kalau diminta untuk berbakti kepada negara berkiprah untuk ibu pertiwi harus bersedia, sebab itu untuk kemaslahatan bangsa dan negara. Siapapun itu, termasuk saya bersedia,"" pungkasnya.  (wal)"
5,Prabowo Puji Keputusan Jokowi Naikkan Gaji PNS Sebesar 5% : Okezone News,", JAKARTA - Ketua Umum Partai Gerindra yang bakal calon presiden Prabowo Subianto mengapresiasi langkah Presiden Joko Widodo (Jokowi) yang berencana menaikkan gaji pokok Aparatur Sipil Negara (ASN) atau Pegawai Negeri Sipil (PNS) sebesar 5%.  Menurut dia, kebijakan tersebut merupakan upaya dari pemerintah dalam mensejahterakan PNS. Sebab, mereka merupakan abdi negara sehingga sudah sewajarnya bila kesejahteraannya dipikirkan oleh Presiden.""Kalau setiap usaha untuk memperbaiki kesejahteraan PNS, guru, itu ABRI tentunya baik dan bagus,"" kata Prabowo di Kantor PBNU, Jakarta Pusat, Kamis (16/8/2018).  Eks Danjen Kopassus itu pun juga memberikan imbauan kepada pemerintah agar segera mengeluarkan formulasi untuk ekonomi Tanah Air. Karena bila hal itu tak juga mendapatkan solusi, maka kemiskinan akan terus membayangi Bumi Pertiwi.  ""Yang penting adalah juga kemampuan ekonomi kita. Dan juga ingat rakyat Indonesia yang miskin itu justru harus kita pikirkan,"" ujarnya.  Sebagaimana diketahui, pemerintah akan menaikkan gaji pokok ASN atau PNS sebesar 5%.  Hal ini terkuak saat Presiden Jokowi menyampaikan keterangan pemerintah atas RUU RAPBN 2019 beserta nota keuangannya di DPR, Jakarta, hari ini.  ""Selain melanjutkan kebijakan penggajian yang telah dilakukan tahun 2018, pada tahun 2019, pemerintah akan menaikkan gaji pokok dan pensiun pokok bagi aparatur negara, serta para pensiunan sebesar rata-rata 5%,"" kata Jokowi.   Menurut Jokowi, kenaikan gaji pokok PNS dan pensiunan ini untuk menjaga kesejahteraan dan peningkatan kualitas.  ""Peningkatan kualitas dan motivasi birokrasi terus dilakukan agar aparatur negara makin profesional, bersih, dan terjaga kesejahteraannya,"" pungkasnya.          (Ari)"
6,"Sandiaga Nyawapres, Djarot: Padahal Baru Jabat Wagub DKI 10 Bulan Ya?    : Okezone News",", JAKARTA - Eks Wakil Gubernur DKI Jakarta Djarot Saiful Hidayat buka suara terkait majunya Sandiaga Uno sebagai calon wakil presiden pendamping Prabowo Subianto dalam Pemilu 2019.  Djarot enggan berkomentar banyak ihwal majunya Sandiaga. Namun, ia mempertanyakan lamanya Sandiaga menjabat sebagai Wagub DKI.""Enggak apa-apa. Tanya beliau ya. Padahal baru berapa bulan, 10 bulan ya?"" Kata Djarot usai peluncuran buku 'Kebijakan Ahok' di Gedung Filateli, Jakpus, Kamis (16/8/2018).  Kendati demikian, Ketua DPP PDIP itu menilai majunya Sandiaga sebagai Cawapres pendamping Prabowo sangatlah bagus. Ia juga tak ingin mempermasalahkan hal tersebut. ""Bagus. Enggak apa-apa,"" imbuh Djarot.  Sekadar informasi, Sandiaga Uno memutuskan maju sebagai cawapres pendamping Prabowo di Pilpres 2019 setelah menduduki kursi Wagub DKI kurang dari 1 tahun.  Bersama Prabowo, Sandiaga didukung oleh Partai Gerindra, Demokrat, PKS dan PAN. Namun saat ini Sandiaga memutuskan mundur dari jabatannya sebagai Wagub DKI dan mundur dari Partai Gerindra.           (wal)"
7,"Maju Pilpres 2019, Prabowo Klaim Dapat Restu dari NU    : Okezone News",", JAKARTA - Ketua Umum Partai Gerindra Prabowo Subianto menyatakan pihaknya telah mendapat restu dari Pengurus Besar Nahdlatul Ulama (PBNU) untuk maju sebagai capres bersama cawapres Sandiaga Salahudin Uno di perhelatan Pilpres 2019 mendatang.  Eks Danjen Kopassus itu menuturkan, pemberian restu itu hanya sebatas pemberian dukungan moral saja, bukan dalam pandangan politik. Sebab, kata dia, ormas Islam terbesar di Indonesia itu tak akan terlibat ke dalam kegiatan politik praktis saja.""Iya (dapat restu). Saya kira sikap NU, sangat bijaksana, NU tidak akan berpolitik praktis, NU adalah suatu organisasi untuk mewakili umat Nahdliyin, tetapi juga suatu gerakan moral, beliau katakan beliau penjaga moral,"" kata Prabowo usai bertemu dengan jajaran PBNU di kantor PBNU, Jakarta Pusat, Kamis (16/2/2018).  Menurut dia, bentuk restu itu juga akan diberikan kepada pasangan Joko Widodo dan Ma'ruf Amin nanti. Sebab sebagai pengayom masyarakat Islam di Tanah Air, maka sudah sewajarnya memberikan wejangan pada calon pemimpin bangsa.  ""Jadi semua saya kira kedua pasang akan selalu diingatkan oleh beliau, oleh NU. Dan memang kenyataannya tadi beliau sebut sendiri bahwa di semua pihak NU hadir. Saya kira disitu lah saya katakan hebatnya NU,"" ujarnya.  Prabowo mengaku mendapat pesan dari para pimpinan NU. Kata dia, mereka memberikan harapan kepada pihaknya agar memperhatikan kondisi permasalahan bangsa seperti mengurangi angka kemiskinan  dan kesulitan rakyat.  ""Menciptakan suatu ekonomi yang lebih adil, dimana sumber-sumber ekonomi bisa dinikmati seluruh rakyat Indonesia,"" kata dia.          (wal)"
8,"Dukung Jokowi-Ma'ruf, Ahok-Djarot Tak Masuk Timses    : Okezone News",", JAKARTA - Basuki Tjahaja Purnama (Ahok) dan Djarot Saiful Hidayat tidak masuk dalam struktur tim pemenangan Joko Widodo-Ma'ruf Amin dalam Pilpres 2019.  Menurut Ketua DPP PDIP Djarot Saiful Hidayat, Ahok tidak masuk dalam struktur tim pemenangan. Namun, Eks Gubernur DKI itu tetap mendukung paslon Jokowi-Ma'ruf.""Kalau itu kita enggak, artinya Pak Ahok tetap kasih support meskipun tidak masuk sebagai tim kampanye, tidak harus dipanggung gitu ya,"" kata Djarot usai menghadiri peluncuran buku ""Kebijakan Ahok"" di Gedung Filateli, Jakpus, Kamis (16/8/2018).  Djarot menambahkan, selaku pimpinan PDIP dirinya pasti mendukung Jokowi. Namun, Eks Wagub DKI itu tidak masuk dalam jajaran timses Jokowi-Ma'ruf. Alasannya, dirinya diminta fokus untuk pencalonan legislatif.  ""Saya mungkin tidak masuk dalam tim kampanye untuk Pilpres karena kami fokus untuk Pileg. Pileg dan Pilpres bersamaan maka dari itu Pak Hasto yang nanti ditugaskan untuk Pilpres karena Pak Hasto tak nyaleg,"" pungkas Djarot.           (wal)"
9,"Pilpres 2019, Prabowo: Siapapun Pemenangnya NU-nya Ada    : Okezone News",", JAKARTA - Bakal calon presiden Prabowo Subianto bersama bakal calon wakil presiden Sandiaga Uno, mendatangi kantor Pengurus Besar Nahdlatul Ulama (PBNU), Jakarta Pusat. Keduanya disambut langsung oleh Ketua Umum PBNU, SAid Aqil Siradj.  Dalam pertemuan tersebut, Said Aqil akan membuatkan Kartu Tanda Anggota (KTA) NU untuk orang nomor satu di Partai Gerindra itu. Prabowo pun mengaku takzim atas rencana tersebut. Ia pun sebenarnya sudah lama mengajukan itu, karena dirinya merasa dekat dengan NU.""Kehormatan bagi saya. Sudah beberapa saat sebetulnya saya mengajukan, karena merasa dekat dengan NU,"" kata Prabowo di Kantor PBNU, Jakarta, Kamis (16/8/2018).  Eks Danjen Kopassu itu mengaku mendengar pernyataan Said Aqil bahwa NU tidak akan berpolitik praktis. NU adalah suatu organisasi untuk mewakili umat Nahdliyin serta sebuah gerakan moral.  ""Jadi tadi disampaikan kedua pasang (capres-cawapres) akan selalu diingatkan oleh NU. Dan memang kenyataannya tadi beliau sebut sendiri bahwa di semua pihak NU hadir di mana-mana. Jadi disitulah hebatnya NU, siapapun menang, NU-nya ada,"" kata Prabowo.  Sebelumnya, Ketua Umum PBNU Said Aqil Siradj akan membuatkan kartu anggota Nahdlatul Ulama untuk bakal calon Presiden Prabowo Subianto.  ""Insyaallah akan disiapkan kartu NU untuk pak Prabowo,"" kata Said Aqil.  Pertemuan NU dengan keduanya, lanjut dia, berlangsung amat santai dan sesekali diselingi dengan canda tawa dari mereka.  Sementara untuk Sandiaga, kata Said, pihaknya telah memberikan kartu anggota NU beberapa waktu lalu. Pendamping bakal Capres Prabowo itu memang kader NU karena mertuanya merupakan tokoh ormas Islam terbesar di Indonesia tersebut.  ""Kalau pak Sandiaga mertuanya NU betul, punya masjid At taqwa di Jalan Sriwijaya. Dan kalo dari ibundanya, dari Cirebon, dari rumah saya 7 kilometer,"" kata Said.          (wal)"
