,Judul,Konten
0,"Dugaan Mahar Politik Sandiaga, Andi Arief Tak Hadiri Panggilan - pilpres Tempo.co",", TEMPO.CO, Jakarta - Anggota Badan Pengawas Pemilu, Fritz Edward Siregar, mengatakan pihaknya akan kembali melayangkan surat panggilan kepada Wakil Sekretaris Jenderal Partai Demokrat Andi Arief sebagai saksi laporan dugaan mahar politik oleh bakal calon wakil presiden Sandiaga Uno. Andi tidak hadir dalam pemanggilan Bawaslu hari ini.""Semua nomor beliau mati dari tadi pagi, jadi kami enggak tahu juga alasannya (tidak hadir) kenapa, tapi beliau tidak dapat dihubungi. Padahal surat undangan sudah kami kirimkan ke DPP dari Kamis lalu,"" kata Fritz di kantor Bawaslu RI, Jakarta, Senin, 20 Agustus 2018.Baca: ACTA Minta Dugaan Mahar Politik Sandiaga Uno Tak Diproses BawasluMenurut Fritz, pihaknya telah melayangkan surat panggilan ke DPP Partai Demokrat pada Kamis, 16 Agustus 2018, agar Andi Arief sedianya hadir sebagai saksi pada hari ini.Pemanggilan terhadap Andi Arief adalah tindak lanjut atas laporan Federasi Indonesia Bersatu (Fiber) kepada Bawaslu terkait dengan dugaan mahar politik yang dilakukan oleh Sandiaga Uno untuk menjadi bakal cawapres Prabowo Subianto.Alat bukti yang diajukan oleh Fiber dalam laporannya, kata Fritz, berupa kliping berita, juga satu flash disk berisi satu video dan tujuh foto. Selain mengajukan alat bukti, Fiber mengajukan sejumlah saksi. Salah satunya Andi Arief. ""Bawaslu akan memanggil saksi pelapor ini, kemudian apabila berdasarkan hasil dari sini dianggap cukup, akan memanggil terlapor,"" kata Fritz.Baca: Pilpres 2019, Bawaslu Hati-hati Tangani Dugaan Mahar SandiagaDugaan mahar politik dari Sandiaga sebelumnya mencuat lewat cuitan Andi Arief di Twitter-nya. Andi menyebut Sandiaga menjanjikan masing-masing Rp 500 miliar kepada Partai Keadilan Sejahtera (PKS) dan Partai Amanat Nasional (PAN). Menurut Andi, Sandi memberikan uang itu agar kedua partai membolehkannya maju sebagai cawapres Prabowo Subianto.Sandiaga Uno telah menyampaikan bantahan terhadap dugaan mahar politik tersebut kepada Direktur Pendaftaran dan Pemeriksaan Laporan Harta Kekayaan Penyelenggara Negara (LHKPN) Cahya Hardianto Harefa. ""Tadi saya sampaikan kepada Pak Cahya bahwa saya membantah dan menyatakan itu tidak benar,"" kata Sandi di gedung KPK, Jakarta, Selasa, 14 Agustus 2018.Baca: Pelapor Mahar Politik Sandiaga Uno Penuhi Panggilan Bawaslu "
1,"Mirip Jokowi, Sekjen Koalisi Indonesia Kerja ke KPU Naik Moge - pilpres Tempo.co",", TEMPO.CO, Jakarta - Para sekretaris jenderal partai pengusung bakal calon Presiden Joko Widodo atau Jokowi menggunakan motor gede (moge) saat mendatangi Komisi Pemilihan Umum (KPU), Jakarta, Senin, 20 Agustus 2018.Baca: Apakah Benar-benar Lakukan Aksi Ekstrem Pakai Moge? Jokowi: HeheSuara gahar knalpot moge tersebut terdengar dari jarak beberapa meter sebelum mereka tiba di KPU. Ada sembilan moge dari sejumlah merek ternama yang digunakan para sekjen partai, di antaranya Ducati, Kawasaki Ninja, dan Suzuki GSX.Dari sembilan sekjen partai, hanya Sekjen Partai Kebangkitan Bangsa Abdul Kadir Karding yang mengendarai sendiri motor balap tersebut. Ia mengendarai motor Ducati merah. Sedangkan sekjen lainnya diboncengi relawan. ""Saya punya SIM C bisa bawa motor, jadi saya bawa sendiri,"" kata Karding mengungkapkan alasannya.Baca: Aksi Ekstrem Jokowi di Pembukaan Asian Games 2018 Curi PerhatianSetelah memarkirkan kendaraannya, para sekjen berkumpul serta membentangkan spanduk putih bertuliskan Tim Kampanye Nasional Joko Widodo-KH Ma'ruf Amin. Mereka juga kompak mengenakan pakaian berwarna senada, yaitu atasan kemeja putih, celana hitam, juga dasi merah.Sekretaris Jenderal PDI Perjuangan Hasto Kristiyanto menjelaskan, kedatangan para sekjen ke KPU dalam rangka melengkapi kelengkapan dokumen administrasi yang berisi visi-misi pasangan calon serta susunan tim kampanye nasional.Baca: Diundang ke Istana, Pemanjat Tiang Bendera Semeja dengan Jokowi "
2,Pelapor Mahar Politik Sandiaga Uno Penuhi Panggilan Bawaslu - pilpres Tempo.co,", TEMPO.CO, Jakarta - Salah satu pelapor dugaan mahar politik oleh Sandiaga Uno, Federasi Indonesia Bersatu (Fiber) hari ini Senin 20 Agustus 2018 memenuhi panggilan Bawaslu terkait dengan laporan dugaan mahar 500 miliar Rupiah oleh Sandiaga Uno.Baca juga: Gerindra Sebut Isu Mahar Politik Sandiaga adalah Hoaks Kekinian""Ini betul sekali kalau laporan ini ditindaklanjuti oleh Bawaslu dan kami berikan apresiasi pada Bawaslu,"" kata Muhammad Zakir Rasyidin, Kuasa Hukum salah satu pelapor dari Federasi Indonesia Bersatu (FIBER), Senin, 20 Agustus 2018.Zakir mengatakan Bawaslu meminta pihaknya hadir untuk memberikan klarifikasi dan menghadirkan beberapa saksi, salah satunya adalah Wakil Sekretaris Jenderal Partai Demokrat, Andi Arief.""Kapasitas yang lain adalah saksi, kita melaporkan dan bawaslu minta kami hadirkan saksi. Nah orang-orang inilah menurut kami kompeten untuk menjadi saksi, kami hadirkan mereka,"" ujarnya.Baca juga: Alasan KPK Tidak Bisa Usut Mahar Politik Jenderal Kardus SandiagaUntuk alat bukti, Zakir mengatakan pihaknya telah melampirkan beberapa pernyataan Andi Arief di media dan cuplikan wawancaranya di salah satu stasiun televisi. ""Di situ dia mempertegas kalo dia diperintah partai untuk menyampaikan (mahar politik) ke publik dan ini penting sekali bawaslu tindaklanjuti,"" ucapnya.Zakir juga menegaskan seharusnya Bawaslu seharusnya tetap melakukan penyelidikan terhadap persoalan ini meski tanpa laporan masyarakat. ""Kalau kemarin ada salah satu pihak dari kubu mereka menyampaikan bahwa ini dana kampanye, maka saya pikir keliru sekali karena kita belum masuk dalam tahap kampanye sehingga perlu diperdalam,"" kata Zakir.Sebelumnya, dugaan mahar politik dari Sandiaga mencuat lewat cuitan Wakil Sekretaris Jenderal Partai Demokrat Andi Arief di Twitter-nya. Andi menuding Sandiaga menjanjikan masing-masing Rp 500 miliar kepada Partai Keadilan Sejahtera (PKS) dan Partai Amanat Nasional (PAN). Andi menyebut Sandi memberikan uang itu agar kedua partai membolehkannya maju sebagai calon wakil presiden Prabowo Subianto.Baca juga: Mahar Politik Jenderal Kardus, Sandiaga: Kami Ingin Pilpres SejukSandiaga Uno beberapa waktu lalu juga telah menyampaikan bantahan terhadap dugaan mahar politik tersebut kepada Direktur Pendaftaran dan Pemeriksaan Laporan Harta Kekayaan Penyelenggara Negara (LHKPN) Cahya Hardianto Harefa.""Tadi saya sampaikan kepada Pak Cahya bahwa saya membantah dan menyatakan itu tidak benar,"" kata Sandi di Gedung KPK, Jakarta, Selasa, 14 Agustus 2018."
3,PKS Tak Akan Menolak Jika Mahfud MD Merapat ke Prabowo - Sandiaga - pilpres Tempo.co,", TEMPO.CO, Jakarta - Wakil Ketua Majelis Syuro Partai Keadilan Sejahtera Hidayat Nur Wahid mengatakan partainya tak akan menolak jika mantan Ketua Mahkamah Konstitusi, Mahfud MD, kembali bergabung dengan tim pemenangan Prabowo Subianto dan Sandiaga Uno di pemilihan presiden (pilpres) 2019. Kendati begitu, PKS juga tak akan mendorong atau mengajak Mahfud bergabung.PKS, kata Hidayat, tidak punya hak menolak dan mendorong-dorong. “Kita tunggu saja, Pak Mahfud sudah sangat dewasa untuk menentukan pilihannya,"" kata Hidayat di Kompleks Parlemen, Senayan, Jakarta, Senin, 20 Agustus 2018.Baca:  PKS Klaim Punya Kontrak Politik dengan ...  Pernyataan ini disampaikan Hidayat mengomentari pertemuan Mahfud MD dengan calon anggota legislatif dari Partai Gerindra, Sudirman Said. Pertemuan itu terungkap dari cuitan Mahfud melalui akun Twitter-nya pada Ahad, 19 Agustus 2018.Mahfud menyatakan menerima kunjungan Sudirman dan mantan Staf Khusus Kementerian Energi dan Sumber Daya Mineral, Said Didu. Keduanya mendatangi rumah Mahfud di Yogyakarta, Sabtu pekan lalu, 18 Agustus 2018.Baca: PKS Soal Kalkulasi Tukar Posisi Cawapres ...""Kemarin sore Pak @sudirmansaid dan Pak @saididu berkunjung ke rumah saya di Yogya. Silaturrahim biasa dan berdiskusi tentang dunia sepakbola. Keduanya adalah kawan lama saya. Terimakasih atas kunjungan 2 jamnya, sahabat-sahabat."" Mahfud mencuit di akun Twitter-nya, @mohmahfudmd, Ahad.Sebelumnya, Mahfud juga menulis bahwa dia dihadiahi kaus klub sepak bola Manchester United oleh Said Didu. Padahal Said datang mengenakan kaus Manchester City. Mahfud mengatakan Said mengajaknya pindah klub kesukaan dari MU ke City, tapi dia tak langsung mengiyakan.Simak: Fahri Hamzah: PKS Memang Sudah Innalillahi....""Berani benar Pak @saididu datang ke rumah saya di Yogya, memakai kaus City tapi menghadiahi saya kaus MU. Dia mengajak saya pindah menjadi Fans City tapi saya bilang, ‘Nantilah kalau itu. Yakinkan dulu saya bahwa City bisa diandalkan untuk benar-benar lebih bagus daripada MU’. Saya akan lihat."" Mahfud mencuit.Wakil Ketua Majelis Syuro PKS itu enggan mengaitkan ajakan pindah klub bola itu dengan dukungan Mahfud untuk pilpres 2019. Pada pilpres 2014, Mahfud merupakan ketua timses Prabowo Subianto dan Hatta Rajasa. Saat ini, Mahfud disebut-sebut bakal menjadi tim pemenangan Joko Widodo dan Ma'ruf Amin. ""Pada prinsipnya kami hormati sikap politik Pak Mahfud MD, apa beliau tetap dengan Pak Jokowi atau beliau netral, apa kembali seperti 2014 kemudian mendukung Prabowo, itu prerogatif beliau,"" kata Hidayat."
4,Prabowo Tunjuk Djoko Santoso untuk Pecah Suara Purnawirawan - pilpres Tempo.co,", TEMPO.CO, Jakarta - Pengamat politik dari Voxpol Center, Pangi Syarwi Chaniago, mengatakan rencana Prabowo Subianto menunjuk Djoko Santoso sebagai ketua tim pemenangan sebagai langkah cerdas. Sebab, kata Pangi, Djoko, yang merupakan mantan Panglima Tentara Nasional Indonesia, dapat memecah suara di internal purnawirawan yang selama ini mendukung Joko Widodo.Baca: Jika Jadi Ketua Timses Prabowo, Djoko Santoso: Tentara Harus Siap""Ini kan sebetulnya untuk memecah kekuatan politik di internal purnawirawan,"" kata Pangi, Ahad, 19 Agustus 2018. Dia menjelaskan, Prabowo memilih Djoko untuk mengantisipasi kemungkinan Jokowi menunjuk Kepala Staf Kepresidenan Jenderal (Purnawirawan) Moeldoko sebagai ketua tim pemenangan. Menurut Pangi, pilihan ini bisa membelah dukungan di antara para purnawirawan jenderal.Pangi melanjutkan, Djoko Santoso juga memiliki jejaring yang luas. Pria kelahiran Surakarta, 8 September 1952, itu pernah menjabat Kepala Staf Angkatan Darat sebelum akhirnya menduduki jabatan Panglima TNI.Dua jabatan itu dia peroleh di masa pemerintahan Presiden Susilo Bambang Yudhoyono, Ketua Umum Partai Demokrat, yang kini juga berkoalisi mengusung Prabowo. ""Posisi beliau sangat pas. Beliau juga makin tua makin bijaksana, mengerti strategi lapangan, dan satu chemistry dengan Prabowo dan SBY,"" kata Pangi.Pangi menilai Djoko Santoso dapat menggunakan ilmunya sebagai tentara di dalam kerja pemenangan Prabowo dan calon wakil presidennya, Sandiaga Uno. Dia pun menyebut Djoko berpeluang memiliki strategi yang berbeda dibanding saat pemilihan presiden 2014.Sebelumnya, Wakil Ketua Umum Partai Gerindra Edhy Prabowo mengatakan Prabowo menunjuk Djoko menjadi ketua tim pemenangan pilpres 2019. Menurut Edhy, Djoko dipertimbangkan lantaran dinilai mumpuni dalam melobi dan diterima berbagai kalangan. Namun, kata dia, keputusan harus diambil bersama dengan partai koalisi.Simak juga: Djoko Santoso Digodok Jadi Ketua Tim Sukses Prabowo - SandiagaDjoko Santoso pun menyatakan kesiapannya seandainya benar didapuk sebagai ketua tim pemenangan Prabowo - Sandiaga di pilpres 2019. Sebagai purnawirawan, kata Djoko, malu hukumnya jika menolak penugasan. ""Namanya tentara, ya siaplah, malu kalau enggak siap,"" kata Djoko di depan rumah Prabowo, Jalan Kertanegara IV, Kebayoran Baru, Jakarta Selatan, Selasa, 14 Agustus 2018."
5,Sandiaga Uno Sebut Butuh AHY untuk Menggaet Milenial - pilpres Tempo.co,", TEMPO.CO, Jakarta - Calon Wakil Presiden, Sandiaga Uno, mengatakan membutuhkan peran Agus Harimurti Yudhoyono (AHY) pada Pemilihan Presiden atau Pilpres 2019. “Pak AHY sangat ditunggu oleh para kaum milenial,” kata Sandiaga di Makassar, Ahad, 19 Agustus 2018.Baca: Sandiaga Janjikan Kebijakan Ekonomi yang Berpihak ke Emak - emakMakanya Sandiaga berharap AHY bisa mendorong anak muda agar lebih aktif dalam menentukan masa depan bangsa Indonesia. Plus membuka satu wawasan pembangunan ekonomi Indonesia berbasis membuka lapangan kerja.Menurut Sandiaga, dengan mendorong anak muda bergerak maka ekonomi bisa tumbuh serta berpihak pada masyarakat. “Kami ingin kepemimpinnan yang tegas dan bisa membuka lapangan pekerjaan seluas-luasnya serta biaya hidup bisa terjangkau oleh masyarakat,” kata Sandiaga.Sandiaga mengatakan meski membutuhkan AHY, namun keputusan teta ada di partai koalisi. Menurut dia hingga saat ini tim pemenangan Prabowo Subianto dan Sandiaga Uno (Prabowo - Sandiaga) belum menentukan siapa yang akan menjadi ketua tim pemenangan.Sandiaga datang ke Makassar untuk menghadiri beberapa agenda. Seperti mengunjungi Pasar Terong, silaturahmi partai politik koalisi dan calon legislatif DPRD, silaturahmi dengan pelaku usaha (HIPMI, KADIN, UMKM, start up) guru besar, mahasiswa, dan forum agama. serta berkunjung ke paguyuban kerajaan tokoh adat se-Sulawesi Selatan.Simak: Menjadi Cawapres, Sandiaga Uno Tinggalkan 4 Program Ekonomi IniDalam kunjungannya ke Pasar Terong, Sandiaga mengatakan akan membuka lapangan kerja seluas-luasnya. Sehingga bahan pokok bisa terjangkau khususnya bagi kaum emak-emak sebab ia melihat harga barang fluktuatif dan masih membebani masyarakat. “Kami inginkan pasar tradisional itu bisa memastikan rantai distribusi yang lancar sederhana, terbuka dan berkeadilan,” kata Sandiaga."
6,Politikus NasDem: Program Kerja Jokowi - Ma'ruf Bukan Ilusi - pilpres Tempo.co,", TEMPO.CO, Jakarta - Sekretaris Jenderal Partai NasDem Johnny G. Plate visi misi serta program kerja pasangan Calon Presiden Inkumben Joko Widodo dengan Calon Wakil Presiden Ma'ruf Amin (Jokowi - Ma'ruf) akan berisi program kerja yang realistis.Baca: Luhut Minta Tim Jokowi - Ma'ruf Tak Bawa-bawa Agama Saat Kampanye""Bukan harapan-harapan palsu apalagi ilusi-ilusi,"" kata Johnny di pos pemenangan Jokowi, Posko Cemara, Ahad, 19 Agustus 2018.Johnny juga mengatakan semboyan ""Bersih, Merakyat, dan Kerja Nyata"" juga merupakan bentuk dari program kerja yang realistis. Seorang pemimpin, kata Johnny, harus dekat dengan rakyatnya yang terdiri dari berbagai macam simbol.""Pemimpin tak boleh ditakuti rakyatnya, apalagi menakut-nakuti rakyatnya. Perlu pemimpin yang mengayomi segenap warga bangsa dan negaranya secara keseluruhan. Dan kerja nyata dalam hal ini tentu karya-karya nyata yang sudah dilakukan,"" kata dia.Dalam program kerja Jokowi untuk periode 2019 hingga 2024, Johnny mengatakan tim Jokowi telah membuat sebuah rancangan yang ia sebut Nawacita II. Program ini merupakan lanjutan dari basis pembangunan Nawacita I yang terdiri dari sembilan fondasi dan terbagi dalam 45 bagian.Simak: Antisipasi Ditinggal Pemilih, Jokowi - Ma'ruf Lakukan Cara IniJohnny menekankan Jokowi - Ma'ruf akan fokus pada pentingnya program pengembangan Sumber Daya Manusia (SDM) yang kompetitif. ""Karena Indonesia, suka tidak suka, akan berhadapan dengan revolusi industri 4.0 dimana masyarakat harus berhadapan dengan articial intelligence robotic dan seterusnya. Jadi harus mempersiapkan SDM yang betul betul kuat, solid, dan kompetitif,"" kata Johnny."
7,Kelebihan dan Kekurangan Cawapres Sandiaga Menurut Voxpol Center - pilpres Tempo.co,", TEMPO.CO, Jakarta - Direktur eksekutif dan peneliti utama lembaga riset Voxpol Center Pangi Syarwi Chaniago menghitung kelebihan dan kekurangan calon wakil presiden Prabowo Subianto, Sandiaga Salahuddin Uno. Uno dalam pemilihan presiden 2019. Sandiaga menyisihkan nama-nama yang beredar di antaranya putra presiden keenam Susilo Bambang Yudhoyono, Agus Harimurti Yudhoyono, pendakwah Abdul Somad, dan kader PKS Salim Segaf Al-Jufri.Berikut hitungan Pangi terhadap cawapres Sandiaga Uno:Kelemahan Sandiaga:Baca:Prabowo - Sandiaga Gelar Tiga Pertemuan Ini Seusai Daftar PilpresPertemuan Sandiaga dan Ketum Golkar Akan Bahas Persoalan EkonomiSimak: Polemik Jenderal Kardus, Sandiaga: Sekarang ...Sebut Prabowo-Sandiaga Politik Transaksional ... Meski begitu, kata Pangi, Sandi tidak bisa diremehkan pasangan inkumben Jokowi. Sandi memiliki kekuatan yang dapat mengubah peta lama menjadi peta baru, membuat gelanggang pilpres lebih ketat dan sengit. Kekuatan Sandi: Untuk mengongkosi kampanye pilpres yang memerlukan biaya besar, Sandi siap menanggung sebagian pembiayaan politik ini. “Sandi dinobatkan sebagai salah satu anak muda terkaya di Indonesia,” kata Pangi.  Dalam Laporan Harta Kekayaan Penyelenggara Negara (LHKPN) yang diserahkan ke KPK, harta Sandi mencapai Rp5 triliun. Simak: Sandiaga Ogah Polisikan Andi Arief soal ... “Cara berpakaian, cara berkomunikasi, Sandi punya potensi masuk ke dunia yang disenangi kaum millennial dan emak-emak.” Simak juga:  Gerindra Akan Bahas Pengganti Sandiaga ... FIKRI ARIGI"
8,"Ketua Tim Sukses Jokowi Belum Ditunjuk, Ini Syaratnya Kata PDIP - pilpres Tempo.co",", TEMPO.CO, Jakarta - Sekretaris Jenderal Partai Demokrasi Indonesia Perjuangan (PDIP) Hasto Kristiyanto mengatakan, saat ini, calon presiden tengah menggodok sosok yang akan memimpin tim pemenangan atau ketua tim sukses Jokowi. ""Pak Jokowi terus menimbang-nimbang yang terbaik di antara para calon,"" katanya kepada awak media di kantor Dewan Pimpinan Pusat (DPP) PDIP, Lenteng Agung, Jakarta, Jumat, 17 Agustus 2018.Calon ketua tim sukses Jokowi - Ma'ruf Amin telah mengerucut kepada tiga nama. Ketua Umum Partai Persatuan Pembangunan (PPP) Muhammad Romahurmuziy alias Rommy mengatakan tiga calon ketua tim sukses Jokowi adalah lelaki. Namun dia enggan memberi tahu nama-nama itu. Dia hanya menyebut calon itu bukan berasal dari partai politik. Baca: Berikut Struktur Inti Tim Kampanye Nasional Jokowi Ahok Ingin Bebas Lebih Cepat, Jadi Tim Sukses ... Hasto menuturkan pemimpin tim sukses itu harus memenuhi beberapa kriteria. Berikut ini beberapa kriteria yang harus dipenuhi ketua tim sukses Jokowi dan Ma'ruf:Baca: JK Dapat Dukungan Penuh Jadi Ketua Tim Sukses Jokowi - Maruf ... Beberapa Eks Menteri Diusulkan Jadi Direktur Tim Sukses Jokowi ...Beberapa kursi tim sukses Jokowi-Ma'ruf sudah diisi pejabat. Wakil ketua tim pemenangan, misalnya, diberikan kepada Sekjen Partai Golkar Lodewijk F. Paulus. Empat wakil ketua lain dijabat Sekjen PPP Arsul Sani, Sekjen NasDem Johnny G. Plate, Sekjen PKB Abdul Kadir Karding, dan Sekjen Partai Hanura Harry Lontung.Posisi sekretaris tim sukses Jokowi dipercayakan kepada Hasto. Dia didampingi Sekjen PKPI Verry Surya Hendrawan, Sekjen Perindo Ahmad Rofiq, dan Sekjen PSI Raja Juli Antoni. Sedangkan bendahara diamanatkan kepada Ketua Koordinator Bidang Perempuan, Pemuda, dan Inovasi Sosial DPP Partai Golkar Agus Gumiwang Kartasasmita.Simak: Struktur Tim Kampanye Jokowi TerbentukSYAFIUL HADI | VINDRY FLORENTIN"
9,PDIP Sebut Pertemuan JK dan Prabowo Tak Perlu Dipolitisir - pilpres Tempo.co,", TEMPO.CO, Jakarta - Sekretaris Jenderal Partai Demokrasi Indonesia Perjuangan (PDIP) Hasto Kristiyanto menilai pertemuan antara Wakil Presiden Jusuf Kalla atau JK dan calon presiden Prabowo Subianto merupakan hal yang wajar. Menurut dia, JK menerima Prabowo, yang didampingi cawapres Sandiaga Uno, sebagai pertemuan antar-pemimpin bangsa. ""Jangankan Pak JK, kalau Pak Prabowo dan Pak Sandiaga bertemu Pak Jokowi sebagai presiden pun pasti juga akan diterima,"" kata Hasto di kantor DPP PDIP, Lenteng Agung, Jakarta, pada Jumat, 17 Agustus 2018.Baca: Cium Tangan JK, Syafruddin Bantah Titipan Wapres Sudah Tak Bau, JK dan Anies Makan Pisang di ...   Hasto mengatakan pertemuan JK dengan Prabowo dan Sandiaga tak perlu diartikan bersifat politis. Menurut dia, silaturahmi keduanya, meski dalam tahun politik, tak perlu dianggap sebagai sikap dukung-mendukung untuk pasangan calon. ""Jangan jadikan pemilu untuk menutup keadaban publik kita, menutup tali silaturahmi di antara para pemimpin bangsa,"" katanya. Hasto berpendapat pertemuan JK dan Prabowo adalah hal yang positif. Meskipun, kata dia, selama ini Prabowo kerap mengkritik sebagai oposisi pemerintahan JK dan Presiden Joko Widodo alias Jokowi. ""Ya Pak Prabowo banyak mengkritik karena jurus itu yang bisa dilakukan,"" ujarnya. Baca: PDIP Berencana Libatkan JK di Struktur Tim ...   Pasangan capres-cawapres Prabowo dan Sandiaga mengunjungi JK pada Rabu malam, 15 Agustus 2018. Ketiganya berada di rumah dinas JK, Jalan Diponegoro, Menteng, Jakarta Pusat, selama satu jam. Kedatangan Prabowo dan Sandiaga dimaksudkan untuk meminta restu JK. ""Sesuai dengan adat istiadat kita bangsa Indonesia, yang muda datang kepada yang lebih senior untuk sowan. Untuk mohon melaksanakan suatu pekerjaan, untuk rakyat kita,"" kata Prabowo, Rabu lalu, 15 Agustus 2018.Simak: Diajak AHY Jadi Cawapres 2019, Begini Reaksi JK               Ketua Umum Partai Gerindra itu mengaku dekat dengan JK. Meski pernah bertarung di pemilihan presiden, Prabowo mengatakan punya hubungan yang baik dengan JK. Dia mengatakan persaingan dan kompetisi tidak membuat keduanya berhenti bersahabat. ""Itulah politik yang baik, demokrasi yang baik,"" tuturnya. SYAFIUL HADI | VINDRY FLORENTIN"
