,Judul,Konten
0,Sandiaga Senang Ahok Gabung Tim Sukses Jokowi-Ma'ruf - Pilpres Liputan6.com,",Liputan6.com, Jakarta - Bakal calon wakil presiden Sandiaga Uno menyambut baik jika Basuki Tjahaja Purnama atau Ahok bergabung dengan tim sukses Jokowi-Ma'ruf Amin di Pilpres 2018.Menurut Sandiaga, Ahok memiliki hak untuk terjun ke dunia politik.Baca Juga""Saya tentunya menyambut, kan ini pemilu yang saling merangkul, pemilu yang sejuk, pemilu yang mempersatukan. Saya justru menyambut baik ya kalau Pak Basuki juga ikut dalam pemilu ini,"" kata Sandiaga di kawasan Gondangdia, Rabu, 15 Agustus 2018 malam.Sandiaga mengaku meski sempat berseberangan dengan Ahok saat Pilkada DKI, keduanya tetap bersahabat.""Walaupun kita pernah berseberangan, tapi kan kita bersahabat. Jadi sah-sah saja dan itu hak politik Pak Basuki dan saya sangat men-support dan saya sangat gembira dia ikut,"" ujarnya. * Update Terkini Asian Games 2018 Mulai dari Jadwal Pertandingan, Perolehan Medali hingga Informasi Terbaru dari Arena Pesta Olahraga Terbesar Asia di Sini. "
1,PBNU Siapkan Kartu Anggota NU untuk Prabowo - Pilpres Liputan6.com,",Liputan6.com, Jakarta - Bakal calon Presiden Prabowo Subianto dan Cawapres Sandiaga Uno menyambangi kantor Pengurus Besar Nadhlatul Ulama. Keduanya langsung disambut oleh Ketua Umum PBNU Said Aqil Siradj.Said Aqil mengungkapkan Prabowo sebentar lagi akan menjadi anggota NU. Untuk Sandiaga dia menuturkan sudah lama mendapatkan kartu tersebut.Baca Juga""Insyaallah lagi disiapkan kartu anggota NU untuk Pak prabowo. Kalau Pak sandiaga sudah tahun kemarin. Kalau Pak Sandiaga itu mertuanya NU betul, punya Masjid At Taqwa di Kebayoran. Secara ibadah NU dan kalau dari ibundanya dari Cirebon dari rumah saya 7 km,"" ucap Said di kantornya, Jakarta, Kamis (16/8/2018).Bukan hanya Sandiaga saja, dia juga memuji Prabowo, yang disebut sebagai seorang sahabat almarhum Gus Dur.""Kalau Pak Prabowo sahabatnya Gus Dur. Gus Dur pernah katakan kalau mau cari orang ikhlas pada bangsa, ya Prabowo. Masih ingat saya Gus Dur ngomong gitu,"" tutur Said.Dia mengklaim bahwa pertemuan dengan Prabowo-Sandiaga ini hanya bagian dari silahturahim dan membicarakan masalah kebangsaan.""Mari kita berpolitik dengan bermartabat, berbudaya, dan berakhlak. Mari kita bangun bangsa ini dengan niat yang baik demi rakyat, demi masyarakat kecil, gimana meningkatkan martabat bangsa ini,"" tukasnya. * Update Terkini Asian Games 2018 Mulai dari Jadwal Pertandingan, Perolehan Medali hingga Informasi Terbaru dari Arena Pesta Olahraga Terbesar Asia di Sini."
2,Risma Siap Jadi Tim Sukses Jokowi-Ma'ruf Amin - Pilpres Liputan6.com,",Liputan6.com, Surabaya - Wali Kota Surabaya Tri Rismaharini mengaku siap jadi tim pemenangan Joko Widodo dan Ma'ruf Amin. Namun dia menjelaskan hingga saat ini Ketua Umum PDIP Megawati Soekarnoputri belum memberikan mandat untuk jadi tim pemenangan.""Ya siapa saja kalau pas waktunya bisa. Karena kan kalau Pak Jokowi seluruh Indonesia,"" kata Risma ketika ditemui di Kantor Wakil Presiden Jusuf Kalla, Jalan Merdeka Utara, Jakarta Pusat, Rabu (15/8/2018).Baca JugaDia menjelaskan menjadi bagian dari tim pemengangan harus ada surat dan mandat dari tim koalisi serta dari PDIP.""Ya nggak tahu lah. Aku kalau gitu kan ditunjuk. Itu kan harus ada surat perintahnya. Enggak bisa harus masuk tim sukses,"" kata Risma.Dia pun tidak memaksakan kehendak untuk bisa jadi tim pemenangan Jokowi-Ma'ruf Amin. Sebab jika dipaksakan masuk dalam tim tersebut akan ditegur pihak panitia pengawas pemilu.""Ya nanti kan aku kan di situ ada namaku, kalau ikut, kalau enggak ya enggak bisa karena kan akan ditegur sama Panwas,"" ungkap Risma. * Update Terkini Asian Games 2018 Mulai dari Jadwal Pertandingan, Perolehan Medali hingga Informasi Terbaru dari Arena Pesta Olahraga Terbesar Asia di Sini. Saksikan video pilihan di bawah ini:"
3,PDIP: Mahar Rp 1 Triliun Mengerdilkan Suara Rakyat - Pilpres Liputan6.com,",Liputan6.com, Jakarta - Sekretaris Jenderal PDIP Hasto Kristiyanto menilai isu soal mahar politik senilai Rp 1 triliun yang menjerat Sandiaga Uno telah mencederai demokrasi. Sebab, uang digunakan sebagai alat untuk mendapatkan jabatan tertentu.""Buat kita yang lebih parah kan terkait dengan adanya mahar politik dalam wakil presiden. Ketika untuk menjadi wapres, baru keluarkan dana Rp 1 triliun. Itu merupakan kemunduran demokrasi, bahkan saya bilang itu cacatnya demokrasi kita,"" ucap Hasto di kantor DPP NasDem, Jakarta, Rabu 15 Agustus 2018.Baca JugaMenurut dia, hal itu mengerdilkan suara rakyat, yakni menggunakan segala cara untuk mendapat jabatan.""Di mana suara rakyat dikerdilkan dengan sebuah transaksi untuk mahar politik. Dan itulah yang tak diperbolehkan di negara yang menempatkan rakyat sebagai sumber kedaulatan ini,"" kata Hasto.Hasto meminta agar jangan menjual suara rakyat hanya untuk mendapat posisi tertentu. ""Posisi presiden, wapres, menteri, Kapolri, Panglima TNI, semua harus bebas politik uang,"" pungkasnya.* Update Terkini Asian Games 2018 Mulai dari Jadwal Pertandingan, Perolehan Medali hingga Informasi Terbaru dari Arena Pesta Olahraga Terbesar Asia di Sini. "
4,Djarot Saiful: Ahok Tak Masuk Tim Kampanye Jokowi-Ma'ruf Amin - Pilpres Liputan6.com,",Liputan6.com, Jakarta - Mantan Gubernur DKI Jakarta Basuki Tjahaja Purnama atau Ahok mendukung penuh pencalonan Jokowi-Ma'ruf Amin di Pilpres 2019. Hal ini disampaikan Ahok kepada Djarot Saiful Hidayat dalam perbincangan di Mako Brimob Depok, Jumat (16/8/2018).Kendati mendukung pasangan petahana itu, Djarot mengatakan bahwa Ahok tak masuk dalam tim kampanye Jokowi-Ma'ruf Amin.Baca Juga""Kalau itu (sebagai tim kampanye) kita tidak, Ahok kasih support walaupun tidak masuk sebagai tim kampanye, tidak harus di panggung gitu ya,"" kata Djarot di Gedung Filatelli Jakarta Pusat, Kamis (16/8/2018).Berbeda dengan Ahok, Djarot mengaku akan masuk dalam tim pemenangan Jokowi-Ma'ruf Amin meski tak masuk dalam struktur. Dia mengaku akan lebih fokus dalam Pileg.""Saya otomatis, orang Ketua DPP Partai (PDIP). Mungkin saya nggak masuk dalam tim kampanye untuk Pilpres ya, karena kami fokus pada pileg,"" ujar Ahok. * Update Terkini Asian Games 2018 Mulai dari Jadwal Pertandingan, Perolehan Medali hingga Informasi Terbaru dari Arena Pesta Olahraga Terbesar Asia di Sini."
5,Prabowo Temui Ketua PBNU Hari Ini - Pilpres Liputan6.com,",Liputan6.com, Jakarta - Ketua Umum Partai Gerindra Prabowo Subianto akan kembali menyambangi markas Pengurus Besar Nahdlatul Ulama (PBNU). Sekjen Gerindra Ahmad Muzani mengatakan, Prabowo akan bertandang hari ini, Kamis (16/8/2018).""Pak Prabowo insyaallah akan ke PBNU jam 4, agak padat (jadwal Prabowo),"" kata Muzani di kediaman Prabowo, Kertanegara IV, Kebayoran Baru, Jakarta Selatan, Rabu (15/8/2018).Baca JugaMuzani menepis soal sowannya Prabowo ke PBNU terkait pernyataan Mahfud MD soal cawapres Jokowi. Menurutnya, ini kelanjutan dari pertemuan Prabowo bersama jajaran PBNU sebelumnya.""Tidak, ini bagian dari pertemuan lanjutan di awal. Kan dulu kita datangi PBNU,"" ucap Muzani.Sebelumnya, Prabowo bersama rombongan bertemu Ketua PBNU Said Aqil Siradj. Pertemuan tersebut dilakukan di Kantor PBNU, Kramat Raya, Jakarta Pusat, Senin, 16 Juli 2018. * Update Terkini Asian Games 2018 Mulai dari Jadwal Pertandingan, Perolehan Medali hingga Informasi Terbaru dari Arena Pesta Olahraga Terbesar Asia di Sini."
6,Gaya Sandiaga Uno Saat Ditanya soal Andi Arief Demokrat - Pilpres Liputan6.com,",Liputan6.com, Jakarta - Bakal Calon Wakil Presiden Sandiaga Uno tampaknya sudah enggan menjawab pertanyaan terkait Wakil Sekjen Demokrat Andi Arief. Dia memilih bungkam saat ditanya perihal itu dan menjawab pertanyaan perihal ekonomi.Dimana baru-baru ini Andi dalam Twitternya, memberi sinyal bahwa Demokrat hanya akan terlibat dalam kampanye Prabowo. Dan tak akan bergerak ke Sandiaga Uno.Baca JugaMantan Wakil Gubernur DKI itu, terus dicecar awak media perihal ini. Namun, dia memilih berjalan sambil tersenyum dan menyapa orang-orang yang mendukungnya. Bahkan dirinya sempat melayani seseorang yang memberikannya foto dan gambar untuk kampanye nanti.Bukan hanya itu saja, Sandiaga juga sempat bertanya kepada salah satu jurnalis media yang terlihat diam dan tak menanyakan apa pun kepadanya.""Tadi enggak ada pertanyaan,"" ucap Sandiaga yang tetap mengacuhkan pertanyaan awak media lainnya, Kamis (16/8/2018).Sandiaga Unopun langsung masuk mobil. Dia beranjak pergi dari kantor PBNU.Di tempat yang sama, Wakil Ketua Umum Gerindra Ferry Juliantono, membantah Sandiaga menghindar kala disinggung Andi Arief. Menurutnya masalah itu sudah selesai.""Ya enggak, kan sudah jelas menyatakan tidak benar. (Soal cuitan Andi terbaru) terserah dialah. Saya juga males jawabnya, maksud saya itu sudah jelas dan tidak benar,"" pungkas Ferry.  * Update Terkini Asian Games 2018 Mulai dari Jadwal Pertandingan, Perolehan Medali hingga Informasi Terbaru dari Arena Pesta Olahraga Terbesar Asia di Sini.Saksikan tayangan video menarik berikut ini:"
7,Mendagri: Sebenarnya Sandiaga Tidak Harus Mundur - Pilpres Liputan6.com,",Liputan6.com, Jakarta - Menteri Dalam Negeri Tjahjo Kumolo menyebut proses penggantian Wagub DKI Jakarta yang ditinggalkan oleh Sandiaga Uno tak mesti terburu-buru. Sebab penetapan capres dan cawapres masih lama.""Saya kira masih lama ya, karena penetapan capres masih 20 September,"" katanya di Gedung DPR, Senayan, Jakarta, Kamis (16/8).Baca Juga""Sebenarnya Sandiaga tidak harus mundur, tapi dia kan tetap mundur, lalu kami serahkan kepada partai pengusung, aturannya setelah pengumuman resmi dia sebagai capres cawapres,"" sambungnya.Politisi PDIP ini menjelaskan, batas penggantian tersebut tidak boleh lebih dari 18 bulan. Siapa pengganti Sandiaga, lanjut Tjahjo, diserahkan pada partai pengusungnya di Pilgub DKI Jakarta yakni Gerindra dan PKS.""Yang penting itu kewenangan partai pengusung Anies dan Sandiaga, diputuskan di DPRD kemudian DPRD mengirimkan nama ke presiden lewat mendagri, itu aja yang saya tahu. Jangka waktunya tidak boleh melebihi 18 bulan dari masa jabatan,"" tandasnya.Diketahui, Sandiaga Salahudin Uno memilih mundur dari jabatan Wagub DKI Jakarta karena mengikuti Pilpres 2019 sebagai calon wakil presiden. Prabowo Subianto dan Sandiaga Uno di usung oleh Gerindra, PKS, PAN dan Demokrat.Reporter: Muhammad Genantan SaputraSumber: Merdeka.com Saksikan tayangan video menarik berikut ini:"
8,"Cak Imin Tak Merasa Jegal Mahfud MD, Salahkan Judul Berita Media - Pilpres Liputan6.com",",Liputan6.com, Jakarta - Ketua Umum Partai Kebangkitan Bangsa (PKB) Muhaimin Iskandar angkat bicara mengenai kesaksian Mantan Ketua Mahkamah Konstitusi (MK) Mahfud MD terkait proses batalnya menjadi calon wakil presiden (cawapres) untuk Presiden Joko Widodo (Jokowi) di Pilpres 2019.Menurut pria yang akrab disapa Cak Imin itu, Pengurus Besar Nahdlatul Ulama (PBNU) tidak pernah berusaha menjegal langkah Mahfud menjadi cawapres dengan menggantikannya dengan Ketua MUI KH Ma'ruf Amin.Baca Juga""Enggak pernah ada berita menjegal, yang ada hanya judul berita NU mengancam keluar, padahal judul itu enggak sama dengan isinya,"" kata Cak Imin di Kompleks Parlemen, Senayan, Jakarta, Kamis (16/8).Cak Imin menjelaskan, surat yang beredar dari Ketua PBNU Robikin Emhas terkait tenggat waktu pemilihan cawapres bukanlah sebuah ancaman. Kata dia, selama ini media yang menggiring opini bahwa ucapan Robikin adalah ancaman.""Dari pemberitaan itu hanya menyatakan kalau bukan kader NU maka tidak ikut-ikutan ya kemudian ada yang ngasih judul mengancam. Jadi masalahnya enggak ada. Kalimat mengancam itu hanya judul yang dibuat medianya bukan isinya. Kalau itu enggak ada, apalagi yang dibahas,"" ungkapnya.Wakil Ketua MPR itu juga enggan berkomentar banyak mengenai dugaan Ma'ruf Amin mengarahkan Robikin untuk mengancam Mantan Gubernur DKI Jakarta itu. Cak Imin lagi-lagi menyalahkan pemberitaan di media massa.""Isinya adalah judul berita yang Pak Robikin sebut itukan mengancam tidak mendukung kalau itu tidak ada terus apa yang dibahas gitu,"" ucapnya. * Update Terkini Asian Games 2018 Mulai dari Jadwal Pertandingan, Perolehan Medali hingga Informasi Terbaru dari Arena Pesta Olahraga Terbesar Asia di Sini."
9,Penjelasan Demokrat soal Pernyataan Andi Arief Tak Ikut Kampanyekan Sandiaga - Pilpres Liputan6.com,",Liputan6.com, Jakarta - Wasekjen Demokrat Andi Arief menyebut partainya tak ikut mengkampanyekan Sandiaga Uno sebagai cawapres Prabowo Subianto. Dia mengatakan Demokrat hanya akan total mengkampanyekan Prabowo sebagai calon Presiden 2019.Melihat itu, Waketum Demokrat Roy Suryo mengatakan, hal itu merupakan sikap pribadi Andi Arief. Baginya, partai pimpinan Susilo Bambang Yudhoyono (SBY) ini akan sepenuhnya menyukseskan Prabowo dan Sandiaga.Baca Juga""Kalau itu mungkin itu ada pribadi-pribadi ya, Mas Andi Arief itu sahabat saya dan saya menghormati sikap politik dia, tapi suara resmi partai Demokrat apalagi kalau di klik @partaidemokrat, kami mendukung firm mas Sandiaga Uno jadi pasangannya Pak Prabowo, kalau mas Andi Arief menuliskan ya sah-sah saja dia menuliskan melalui twit pribadinya kan,"" tutur Roy di Gedung DPR, Senayan, Jakarta, Kamis (16/8).Yang jelas, kata Roy, secara organisasi dan institusi, Demokrat mendukung Prabowo-Sandiaga. Demokrat total mendukung karena itu pilihan konsekuensi partai.""Dan penandatangannya itu kan juga sudah dilakukan di Mega Kuningan (kediaman SBY), saya sendiri juga lihat ketika Pak Prabowo dateng diterima Pak SBY, pada hari pendaftaran,"" ucap mantan Menpora itu.Alasan Demokrat absen saat malam deklarasi Prabowo-Sandiaga kediaman Prabowo, Kertanegara juga karena mesti menjalankan sidang Majelis Tinggi Partai (MTP).""Ketika hari pendaftaran itu pun kenapa kami tidak datang malam harinya bukan karena kami tidak total mendukung, tapi malam harinya kami belum sidang MTP, sidang MTP saya tahu betul saya ada di sana baru Jumat 10 agustus pagi hari,"" jelas Roy.Andi Arief sebelumnya menyatakan jajaran partai Demokrat sampai tingkat caleg akan berkampanye memenangkan partai dan Prabowo. Namun, Andi menyebut Demokrat tidak akan mencampuri, bahkan bergabung dengan komitmen kampanye Sandiaga Uno, PAN, dan PKS. Reporter: Muhammad Genantan Saputra "
